Accession	H3K4	H3K36	H2AK7	H2AZK14	H2BK11	H2BK16	H3Nterm	H3K9	H3K14	H3K18	H3K23	H3K27	H3K56	H4Nterm	H4K8	H4K12	H4K16	H2A	H2B	H3	H4	H2AZ
YAL001C 	0.0921296140	0.0800170620		-0.219429488			0.1338733260							0.1163448080				-0.270601406	-0.034420996	-0.225532330	-0.296260967	0.2137677830
YAL002W 	0.4383764240	0.4019813480	-0.550379536		0.1554264120	0.0067120500	0.0386554530	0.1703826960	-0.199762120	-0.355337001	0.1053070360	-0.200221434	0.1941292270	-0.156324555	-0.383289924	-0.366589047	-0.246594441		-0.122220153	-0.170532330	-0.349975252	0.1695199850
YAL003W 	-0.262773366	0.0966837290		-1.019579607			-0.218144264							-0.521326400				-1.217066956	-0.997111406	-0.860532330	-0.895260967	-1.157788217
YAL004W 		0.4937670620		-0.316972581															-0.392720095			-1.480646726
YAL005C 	-0.262773366	0.0966837290		-1.019579607			-0.218144264							-0.521326400				-1.217066956	-0.997111406	-0.860532330	-0.895260967	-1.157788217
YAL007C 	0.1036711750	-0.181149605	0.1884103810	-0.063050202	0.3259431210	0.3853276090	0.1540710560	0.4324205400	0.4737586010	0.3299750200	0.3915869500	0.4198566190	0.0423407070	0.0586370060	0.2468428300	0.1292228940	0.0384142280	0.0464893530	0.0190636120	-0.160532330	-0.162689538	1.0714946310
YAL008W 	0.3662416720	-0.067732938		0.4070236080			0.3098821200						-0.124006288	0.2966816880				0.2253531130	0.1985144050	0.1419676700	0.1587390330	0.6023804630
YAL009W 	-0.039155635	-0.151816271		0.7833685520			0.2694866590						0.8180641060	0.4986589940				0.7054185770	0.0934695840	0.0719676700	0.0223104620	1.1467207030
YAL010C 	-0.039155635	-0.151816271		0.7833685520			0.2694866590						0.8180641060	0.4986589940				0.7054185770	0.0934695840	0.0719676700	0.0223104620	1.1467207030
YAL011W 	-0.199294784	0.6072670620	-0.011829528	0.2165656600	0.0132111610	0.1309939100	-0.296049797	-0.253776456	0.0725155980	-0.169920047	-0.114258886	-0.418043654	0.3992119600	-0.026482001	0.2112955220	0.0246188830	-0.050225258		-0.118447853	0.0244676700	-0.050689538	
YAL012W 	-0.093978046	0.3446956330		-0.076549402			-0.105614051							-0.069762852				0.4631618050	0.1278431700	-0.203032330	-0.040975252	-1.149148945
YAL013W 	-0.043483720	-0.268545438		0.8814432679			0.1973519070						0.5623304800	0.5404971500				0.3845285690	0.1865446970	-0.000532330	0.0640247480	0.8635298870
YAL014C 	-0.043483720	-0.268545438		0.8814432679			0.1973519070						0.5623304800	0.5404971500				0.3845285690	0.1865446970	-0.000532330	0.0640247480	0.8635298870
YAL015C 	0.4066371330	0.4321670620		0.6408621550			0.5205155960							0.7684429670					0.1796394790	0.0779676700	0.1241676050	-1.460513659
YAL016W 	-0.359433934	0.1732670620		0.0336592330			0.0386554530							0.1451987090				-0.352472573	0.0410798530	0.0444676700	-0.014689538	1.0148830499
YAL017W 	-0.422912515	0.0238920620	-0.194017275	-0.317757954	-0.040412002	0.0803110950	-0.759154905	-1.173179371	-0.343092577	-0.901473614	-0.744450277	-0.986423198	0.3069157740	-0.245771647	-0.378614406	-0.634205179	-0.184413896	0.0876052440	0.0649008590	0.0744676700	0.0074533190	1.3015121460
YAL018C 	-0.422912515	0.0238920620	-0.194017275	-0.317757954	-0.040412002	0.0803110950	-0.759154905	-1.173179371	-0.343092577	-0.901473614	-0.744450277	-0.986423198	0.3069157740	-0.245771647	-0.378614406	-0.634205179	-0.184413896	0.0876052440	0.0649008590	0.0744676700	0.0074533190	1.3015121460
YAL019W 	0.1974463520	-0.346932938					0.1973519070						0.7100803000	0.3010097730				0.2431475630	0.2024518650	0.0744676700	0.0470247480	1.4732215220
YAL020C 	0.1974463520	-0.346932938					0.1973519070						0.7100803000	0.3010097730				0.2431475630	0.2024518650	0.0744676700	0.0470247480	1.4732215220
YAL021C 	-0.219492515	-0.215804367	1.3358254650		1.3226932010	1.1374013869	0.0689520490	1.3727680510	1.2081794290	1.2463911640	1.1768074600	1.2100680610	1.0943765780	-0.014940441	1.5030428190	1.1262988780	1.5481636969		0.1121903190	0.0769676700	0.1243104620	0.7513718780
YAL022C 	-0.236804855	0.6769545620		-0.094527433			-0.091187101						-0.486684769	-0.156324555				0.1037730860	0.2763041900	0.0244676700	0.0305961760	-0.963759198
