"","ARP5_DELETION2","ARP5_DELETION2CLONE4","ARP5_DELETION3CLONE2","ARP5_DELETION3CLONE3","ARP6_DELETION","ARP8_DELETIONCLONE1","ARP8_DELETIONCLONE4","ASF1_DELETION","AVO2_DELETION","BIT61_DELETION","ESA1_DAMP","HTZ1_DAMP","HTZ1_DELETION","HTZ1_DELETION2BATCH","IES1_DELETION","IES2_DELETION","IES3_DELETION","IES4_DELETION","IES5_DELETION","IES6_DELETION1CLONE1","IES6_DELETION2CLONE2","IES6_DELETION3","IES6_DELETION4","IES6_DELETION6","IES6_K145|166A","INO80_HASCLONE1","INO80_HASCLONE2","INO80_HASCLONE3","INO80_NTERM","INO80_SPACERCLONE3","ISW1_DELETION","ISW2_DELETION","KOG1_DAMP","LDB7_DELETION","LST8_DAMP","NHP10_DELETION","NPL6_DAMP","RIM15_DELETIONCLONE1","RIM15_DELETIONCLONE2","RRD1_DELETION","RSC3_DAMP","RSC4_DAMP","RSC58_DAMP","RSC6_DAMP","RTT109_DELETION","RVB1_DAMP","SCH9_DELETION","SET3_DELETION","SLM1_DELETION","STH1_DAMP","SWC3_DELETION","SWC5_DELETION","SWC7_DELETION","SWR1_DELETIONCLONE1","SWR1_DELETIONCLONE2","TCO89_DELETION","TOR1_DELETION","TOR2_DAMPCLONE1","TOR2_DAMPCLONE2","TOR2_DELETIONANOSENS","TPK1_DELETION","TPK1_DELETIONCLONE1","TPK1_DELETIONCLONE2","TPK3_DAMP","VPS71_DELETION","VPS72_DELETION","VPS72_DELETION2","VPS72_YL1C"
"ARP5_DELETION2",NA,0.218276164246717,0.159711762031825,0.108128552266891,0.00835692737177909,0.122411670466592,0.219313981545465,0.486682779193289,-0.164410109252855,-0.241843038206466,-0.248533250650662,-0.0217502107898337,0.131936508377201,0.00837673730599467,-0.0453629543382198,0.020768942390584,0.046294222787817,-0.0319702149642014,0.0625924187476433,-0.0718182135055051,-0.167311580136532,-0.135819720464071,-0.0171285968429457,-0.130183628303226,-0.0815075095098479,0.0221186283564933,0.0342371491272668,0.0369339086609053,0.0146643497012287,0.120664263268849,-0.168941262633339,-0.123775880025699,-0.192973229614857,0.028121693380833,-0.102043019560504,0.0244890801016088,0.00246363157432446,0.199619558252147,0.0303188354430706,0.0167292452753539,-0.128213120564464,-0.1336709746337,-0.0580961557940222,0.362412702593574,0.322138512356176,0.0192471634481665,0.0497504731100474,-0.00731827616460988,-0.149005245383627,-0.108937834322733,0.091645221252282,0.204157885582887,-0.0958079137231572,0.128363795175703,0.0974641681815919,0.222390376004192,-0.0846529945975426,0.00746584979362915,-0.00102596150142697,-0.0251541081321998,0.0554127693750524,0.0428660837603012,-0.0743436695906853,-0.122545563441717,0.0394417533096836,0.106250093096709,0.0730218787479497,0.0816598614956799
"ARP5_DELETION2CLONE4",0.218276164246717,NA,0.575325223618079,-0.0466821702761136,0.0971230853821875,0.530889423307216,0.101640131745352,0.296136947828566,-0.11584711642515,-0.117044472277134,-0.193310223673153,0.237494897112148,0.210391325752162,0.154454173802502,0.0306252399944337,0.0827749901080836,0.12146823244736,0.174548909767189,0.0614209300156982,-0.311899145269282,0.00910090033170389,0.127899239175404,-0.289214970494478,-0.197450995852605,-0.0352050162797397,0.301317354599066,0.0661285879007479,0.140978089984437,-0.047610123791264,0.306063466249401,-0.102688985698919,-0.0167069682476248,-0.0989087096877898,0.102248608942574,-0.0484970675981039,0.0515334259176575,0.0400140065998661,-0.184284659721979,0.126963939887585,-0.0456891570967318,-0.0600921015068567,-0.0715870924745115,0.103134119412592,0.371482259635819,0.0645841819806619,0.0684716218379304,0.246582337509141,0.00182183926158044,-0.106504771523681,-0.00162785993811257,0.161374519076757,0.141020852832228,-0.0210040499841918,0.104473061751078,0.145071197297138,0.178166103887285,-0.0747052079371696,-0.271380897921632,-0.11385192365843,-0.0818962225196209,0.0513617753426071,-0.260741099210505,-0.302879724457875,-0.0869180113772078,0.125195000857,0.112073959605471,0.106920591274302,0.0950908504631772
"ARP5_DELETION3CLONE2",0.159711762031825,0.575325223618079,NA,-0.027815165009382,0.0357298544780141,0.56008514186209,-0.00281736711850808,0.10793494639428,-0.0100222760565327,-0.11920735811432,-0.105242217589053,0.193289408640344,0.0554140987118529,0.10852266116614,0.00418899266627358,0.0858288291639079,-0.0524809356641339,0.157789593853903,0.0205517702237413,-0.198902638324344,0.0995752725365264,0.132553829780586,-0.152033901846683,-0.240328725334673,0.0410385761104365,0.291681406274243,0.17299539479363,0.192788636120749,-0.0184046055003452,0.279409368547304,-0.0754960537791956,-0.0691834466919243,-0.0949448065711428,0.150975974301139,-0.0792170461702745,-0.0175614041809655,-0.0293891015911068,-0.0954289974797067,0.234143134296391,-0.0852172161150369,0.0235795503826452,0.0516614439349033,0.0197265006582411,0.223234675490994,-0.0404703459984207,0.102881169257903,0.184057266874406,0.0641909098195762,-0.0189314233216999,0.0574792287716635,0.225772566809604,-0.0575079296412552,0.0708280660888504,0.0469234753526211,0.0460991971667741,0.132643221358194,-0.0428866260696353,-0.17311197095246,-0.0765733291008443,-0.231248272711614,0.0162709122961769,-0.209500458211074,-0.269409437015389,-0.0919746124989164,0.0818604772687169,0.0248440225008197,0.0377844922837142,0.0635044989312652
"ARP5_DELETION3CLONE3",0.108128552266891,-0.0466821702761136,-0.027815165009382,NA,-0.0607541891376934,-0.0834753597313459,0.243708521764237,0.0261561368316825,-0.0376411123939186,0.00346847615499695,-0.0503029585390021,-0.0905475238990169,-0.0762210386379985,-0.0766798430477888,0.0276963141534617,0.01672268577528,0.00608562262623996,0.0423641520385511,0.0345653116769707,0.0926314986838223,-0.129504325020366,-0.15931725022056,0.0573976224702063,0.0126249228525655,-0.0305208157655714,-0.0694853527668874,-0.0976650368663698,-0.0720527435114826,0.0271274408802806,-0.145243386957913,-0.0367332748266514,-0.0894971015055879,-0.0486447370335783,-0.0134257301396246,-0.00932906307990184,-0.0843687703221918,0.000316075855893928,0.0431924461127552,-0.149124328106704,-0.0265894944321026,-0.0219755313024882,-0.0246424095575144,-0.00477176114521386,0.0557337234754941,0.0671467910478624,0.0310755774725947,0.0166050769546838,0.0525322753363742,-0.0886096938756206,-0.00283380019090917,0.102441070385469,0.0181677258749069,-0.0454432608453812,0.0183122087235905,0.0301868918157241,0.120074001209474,-0.0357549750555946,-0.0327664498047568,0.0435535798754657,-0.0338674494138023,-0.0105126985330366,-0.0237732834044547,-0.0344285255075816,-0.0481388210863859,-0.0521844993538089,-0.0844924685724164,-0.00809231012699499,0.0811432931396882
"ARP6_DELETION",0.00835692737177909,0.0971230853821875,0.0357298544780141,-0.0607541891376934,NA,0.148818261254392,0.00531579764737277,0.00667209435581759,-0.0577199867024226,-0.0265343816647788,0.0693874851933929,0.240746612347471,0.248351307449158,0.126470069653471,-0.13895014366955,0.0492840935486983,0.0685412213851171,0.031595832026819,-0.0185364102858816,-0.0996745985547064,-0.0625390464972426,0.135270686001887,-0.157794673938846,-0.104531289906887,-0.0405729914323248,0.149952491629146,0.01637218207388,0.0597695667066725,-0.0562790175760639,0.158343528169416,-0.0130228558426439,-0.0287084746699619,-0.122239554358631,0.208124730849722,-0.0874527489643915,0.00339742354818372,-0.10334561613455,-0.0938423911396249,0.0923504601909994,-0.0189604498662918,-0.134373918083593,0.00466997162022833,0.0469190400311639,0.0784778641075674,0.0855302971419715,-0.00460386064808361,0.103011087240965,0.144497821714662,-0.0715563216560931,-0.128099732920338,0.116378428607268,0.168982170202246,0.0204086261456793,0.46251209469957,0.458900410945942,0.0339695890312423,-0.142240850937681,-0.0546869355480612,-0.0264705975520545,0.117966158455001,-0.182644108617554,-0.110342420870055,-0.0666733747437926,0.016538082166527,0.398386789053125,0.376373934063356,0.519427494756476,0.334247290658227
"ARP8_DELETIONCLONE1",0.122411670466592,0.530889423307216,0.56008514186209,-0.0834753597313459,0.148818261254392,NA,0.264242067972966,0.0990780556779588,-0.135271837716766,-0.0892589984328911,-0.0882604691687377,0.173163291676607,0.172229040159648,0.116680193366172,-0.148871930717988,0.119980967946794,0.023013658982492,0.179980177645596,-0.0744040708013534,-0.175479233055626,0.0223121534084029,0.220121299583438,-0.240056306964682,-0.128188447126206,0.146751488176194,0.328907462477192,0.19418620715354,0.187888184817563,-0.127091714357814,0.366648225392966,-0.0431418155784468,-0.0589508424842865,-0.102720503880354,0.18862996098088,-0.0790159582087072,-0.012249818066293,0.0457715307972527,-0.138779317022277,0.105827543064181,-0.0557414572793456,0.0163596626530673,0.111817702730109,0.0692007312988942,0.240418655328328,0.0286468784071981,0.103162645608456,0.252892757742207,0.00775736276157537,-0.0840637495439191,0.0335502942647105,0.0972167190062359,0.129771439280104,0.0134714665639218,0.0463186535718615,0.0350885483710306,0.122105884599362,-0.030084159011735,-0.248415273899708,0.0980024305086672,-0.20408520385233,0.0133744992098302,-0.33693131818331,-0.343802380098074,-0.0282859221842155,0.0880987375870796,0.118400924691499,0.133237168224376,0.19797345717453
"ARP8_DELETIONCLONE4",0.219313981545465,0.101640131745352,-0.00281736711850808,0.243708521764237,0.00531579764737277,0.264242067972966,NA,-0.00623989260727254,-0.0204584460001947,-0.106819448559879,-0.0746567320309856,-0.205952008658394,0.0917710890572747,-0.164513952653734,-0.138611172332509,0.0173432479763093,-0.0718388381183179,0.0133668042548994,-0.140734498607372,0.238751274329462,-0.159755686904859,-0.228151890481483,0.0656112412382185,0.0738710522499787,0.056046938421754,-0.110522362595886,-0.100913963153762,-0.0902955072218258,-0.0473940099500981,-0.0514551347202786,0.00998371507555047,0.0154213458040557,0.0295194317834433,0.0300351216953069,0.00450394035317133,-0.159254277084765,0.0135639631232456,0.156650657459046,-0.304888670580253,-0.0167573638304698,0.0542323706520216,0.0478697805516069,0.0900836542516488,-0.00406515718513035,0.0131771699286463,0.0175824828862345,-0.0131917935509316,0.01686608620456,-0.00283668838704474,0.0199304495860561,-0.0521767869391541,0.184081845369928,-0.0336329253641522,0.0924659540964349,0.0389702383972137,0.0647741040279634,-0.0760294152066923,0.102182009306819,0.243246385283093,-0.185590331046013,0.0720306652900245,0.0136729937027871,-0.0830682006371015,-0.0589030892167791,0.132857781226191,0.0470029915454556,0.0816125912981682,-0.0019128448725899
"ASF1_DELETION",0.486682779193289,0.296136947828566,0.10793494639428,0.0261561368316825,0.00667209435581759,0.0990780556779588,-0.00623989260727254,NA,-0.136252092658327,-0.085612595947995,-0.310060213883597,-0.00642090844249662,0.144219324701974,-0.0377649990978656,0.134033379460552,-0.0176382928321071,0.248258377937341,-0.0215740915187081,0.0656644463878719,-0.12613073265208,-0.107565028752686,-0.022913215165229,-0.0967915194715058,-0.0846166447452216,-0.20247767346981,0.0618808155195344,0.168514368945974,0.0589336284247147,0.0274322308269277,0.0560055851750659,0.0694110475633746,-0.0360124517637384,-0.0842832409608174,0.0453848631120019,-0.0362478116018872,0.0180819821745026,-0.0572012796745997,0.132336446743127,0.129744808859511,-0.0985738051190152,0.0326675841248561,-0.263817435913002,0.0843140472831371,0.591283142977245,0.503159327771513,-0.0401284959498634,0.0934514446819247,0.184736133133556,-0.154791521824932,-0.0539952689985794,0.0433352108200959,0.111317554791787,0.0262949240314269,0.111987901555474,0.197088657380065,0.0828155997630508,-0.104298415712069,0.0406617026882002,-0.0346715994075234,0.061990201432261,0.014002467638753,0.0460960733264953,-0.0727824749417383,-0.00637480704957999,0.123319942920423,0.0778241073184239,0.0369287645186091,0.100394908596984
"AVO2_DELETION",-0.164410109252855,-0.11584711642515,-0.0100222760565327,-0.0376411123939186,-0.0577199867024226,-0.135271837716766,-0.0204584460001947,-0.136252092658327,NA,0.239826240176246,0.161683934131267,-0.0576302511053685,-0.13395340652524,-0.0591577372535066,-0.0206205277472105,-0.0293318570548406,-0.0733671243783489,-0.0220578854092251,0.0624992443451501,0.0367694500821834,-0.0272110417159717,-0.0456556016673508,0.00552814490285069,0.0243184782427979,0.00465687953814583,-0.0605370855997855,0.0160747797051033,-0.0338256493923674,0.0277784160533858,-0.110680723918757,0.0020576517980616,-0.00263779677075801,0.145063634743611,-0.0926917965289993,0.137345166157124,-0.040917232635508,0.0585037244560628,0.00190517730275902,0.0236700921496406,0.0570718054072234,-0.139458885761612,-0.00539560458061209,-0.219026414150774,-0.136215530668978,-0.165069826413237,-0.0790895107263588,-0.125464768196627,0.0950220384490671,0.261005571495129,0.0611242874865458,-0.107470416418119,-0.221024232427742,0.135846461974781,-0.131684100632925,-0.0386937983536668,-0.0844609521373366,0.138999548607688,-0.000177314224040064,0.00514195131328994,0.103204602681582,-0.0232847933846471,0.0473053484903933,0.109985375731343,0.242929761993475,-0.0982315776288631,-0.0327180250711492,-0.116635133498154,-0.137126757277457
"BIT61_DELETION",-0.241843038206466,-0.117044472277134,-0.11920735811432,0.00346847615499695,-0.0265343816647788,-0.0892589984328911,-0.106819448559879,-0.085612595947995,0.239826240176246,NA,0.211021793747881,0.0842348380770625,-0.108361534617449,-0.043374807267823,0.013822597757571,-0.012661281451815,0.0229660013032497,-0.0182722317795011,0.0243201211340587,-0.113484953006657,0.0968774483922391,0.0401717262198579,-0.100238716563723,-0.0761990180781043,-0.0317560023100824,0.0141178491974596,0.176816040007123,0.0104372237424148,-0.0134819989205015,-0.0210066886254322,0.147742901469738,0.0263126292813765,0.252560911427695,-0.127457287716089,0.0992372002405393,0.0609603427407365,0.0875951650572491,-0.109696755549826,0.0933100396771833,0.120011741196288,0.110932596128614,-0.005694168600709,-0.0972071286201601,-0.0936170463557147,-0.118847047076955,-0.000284660659792177,-0.0189691710042555,0.105518925578174,0.212277433762782,0.0763729191822845,-0.160865229431997,-0.203914884619396,0.311705890497537,-0.148386021763853,-0.0485920314219655,-0.136930867141353,0.12552044737152,-0.136223054985766,-0.124116120157182,0.0650780702312237,0.0922759288707359,-0.0776093863164468,-0.0259236308466758,0.269932650771306,-0.0643018460149658,-0.106425598002944,-0.117531380675819,0.00650399998298778
