"","ARP5_DELETION2","ARP5_DELETION2CLONE4","ARP5_DELETION3CLONE2","ARP5_DELETION3CLONE3","ARP6_DELETION","ARP8_DELETIONCLONE1","ARP8_DELETIONCLONE4","ASF1_DELETION","AVO2_DELETION","BIT61_DELETION","ESA1_DAMP","HTZ1_DAMP","HTZ1_DELETION","HTZ1_DELETION2BATCH","IES1_DELETION","IES2_DELETION","IES3_DELETION","IES4_DELETION","IES5_DELETION","IES6_DELETION1CLONE1","IES6_DELETION2CLONE2","IES6_DELETION3","IES6_DELETION4","IES6_DELETION6","IES6_K145|166A","INO80_HASCLONE1","INO80_HASCLONE2","INO80_HASCLONE3","INO80_NTERM","INO80_SPACERCLONE3","ISW1_DELETION","ISW2_DELETION","KOG1_DAMP","LDB7_DELETION","LST8_DAMP","NHP10_DELETION","NPL6_DAMP","RIM15_DELETIONCLONE1","RIM15_DELETIONCLONE2","RRD1_DELETION","RSC3_DAMP","RSC4_DAMP","RSC58_DAMP","RSC6_DAMP","RTT109_DELETION","RVB1_DAMP","SCH9_DELETION","SET3_DELETION","SLM1_DELETION","STH1_DAMP","SWC3_DELETION","SWC5_DELETION","SWC7_DELETION","SWR1_DELETIONCLONE1","SWR1_DELETIONCLONE2","TCO89_DELETION","TOR1_DELETION","TOR2_DAMPCLONE1","TOR2_DAMPCLONE2","TOR2_DELETIONANOSENS","TPK1_DELETION","TPK1_DELETIONCLONE1","TPK1_DELETIONCLONE2","TPK3_DAMP","VPS71_DELETION","VPS72_DELETION","VPS72_DELETION2","VPS72_YL1C"
"ARP5_DELETION2",NA,0.294303239802991,0.062967675261681,0.130480416160205,0.0620572033299409,0.123661051072144,0.20092657731795,0.233641196029725,-0.0707442823054708,-0.0419189336349603,-0.1269889455233,0.0232579149234462,0.0941662517464228,0.152143024256313,0.0451533724061261,0.170863959666108,0.0388547401319548,-0.0069251589848806,0.0746218609899481,0.00654250452659756,-0.185824011415854,-0.0306807876784341,NA,NA,-0.0883556939011994,0.0836053355302741,0.0504307269903582,0.0104459149503345,0.0956295129995449,-0.0317287112317325,-0.0968639444461781,-0.0288538901245219,-0.0629238935634235,-0.0154932061535075,-0.035769271351328,0.012242591630048,-0.00792042973997202,0.0228347525744929,-0.130409693110356,0.0309073067846741,0.00705004419373233,-0.0983450688031944,-0.00264827616075711,0.081394490166119,0.147811700675414,-0.0156577567836596,0.059536645892169,0.0241130869266348,-0.0708822109890099,-0.149064297918578,-0.0466490980674841,0.0317529782863687,-0.0730365633183238,0.118631376154791,0.0426669201502888,-0.000321484654248414,-0.0994240855836984,-0.0123738232636423,-0.0444584886945716,-0.0758249360993296,-0.125592175112813,0.084433242337813,-0.0178381529035979,-0.118590421616229,0.0854527509530142,0.0234129606168274,0.0743941565652549,-0.0751161868010528
"ARP5_DELETION2CLONE4",0.294303239802991,NA,0.413802672671779,0.397167469405054,0.0160016971389178,0.307945084773133,0.324430712423717,0.217166965512393,0.00500821426064164,0.0429262046319517,-0.103312565989129,0.202027928740195,0.0297642293802391,0.353953146930621,0.0345219271818035,-0.0403421909080861,0.0372547367816671,-0.123661782970026,-0.00934578933514681,-0.1723502950035,-0.19048565828104,-0.258504954483683,NA,NA,-0.252538418534543,0.238961869560713,0.00479400215984213,0.0403138554031529,0.0573341661500765,0.0407807441165427,0.114642956819419,0.115762544873757,0.0591901925849832,-0.0251795391572105,0.0779221827772451,0.0111474981676618,-0.13023385375731,-0.000282929939838726,-0.262210838844021,-0.0334788539162483,-0.182900027526528,-0.175412765428643,0.0275317137892143,0.244786005104062,0.101685651383051,-0.0448318157832313,-0.105102810186289,-0.0291291440854219,-0.00492517445954404,-0.0682713371605307,-0.0871850689050718,-0.0587587873991564,0.049081557398537,0.105509126948269,0.0557254986583859,-0.0230929057850369,0.00830984473387099,-0.248560098528776,-0.133418079043996,-0.136662154474048,-0.0763124067743458,-0.0104296067423674,-0.0568180428248565,-0.135579692774603,0.0733702961161279,0.0229749399302274,0.0861774235363786,-0.135438538059989
"ARP5_DELETION3CLONE2",0.062967675261681,0.413802672671779,NA,0.171802873966219,0.114680314437222,0.248969635157271,0.0882789350280266,0.138383972287445,0.0552346202468718,0.0142506218930013,0.0824976117858703,0.172041654378513,0.00233945937141468,0.179188726743092,-0.0554224079406158,0.107282478440325,0.102945043155453,-0.0610262439573615,0.0646629773833283,-0.137423652436476,-0.148059603944627,-0.235508686587798,NA,NA,-0.20930180569838,0.12584981960609,-0.0120753617286994,-0.034112823361467,-0.0157832071819514,0.09493511280288,0.123768896411167,0.168445911706159,0.0689421299428003,0.0670933212213259,0.00585853536675556,0.117573535725055,0.0294764501864696,-0.122058506297308,-0.284526589108194,-0.00950467235635494,-0.0808625757244849,-0.073585399215207,-0.01320695151406,0.0805288950745288,0.0516045681109555,-0.0979581343173125,-0.0517192685774639,-0.102251062115967,-0.073785046313306,-0.0632071286870732,-0.0944526802966503,-0.0321298567565788,-0.054981756738583,0.0563445859138781,0.0206963031967195,0.0306842919724398,0.0278605527182573,-0.219508798263925,-0.171411460748132,-0.0368015434408481,-0.0811825533973157,-0.180006218410554,-0.25456940381474,-0.0276767342051737,0.0115277087342633,-0.0742674441268977,0.101449651262848,-0.101006948636837
"ARP5_DELETION3CLONE3",0.130480416160205,0.397167469405054,0.171802873966219,NA,-0.0695726411196286,0.123650069621942,0.444774432662651,0.191297719277439,0.000245727928939855,-0.0191613259849165,-0.069224170287526,0.0796189566870894,0.0292354994914492,0.155853350568296,-0.0341615343783326,0.074107631828389,-0.0607061000692273,-0.0202963572743367,0.0335206870518281,-0.085371624227369,-0.187981213130877,-0.258073068204845,NA,NA,-0.197437712463131,0.157742790689845,0.000479918642964725,0.0825874932356522,-0.0125704495438055,0.122458626833317,0.130623562681656,0.105792070950228,0.0346119367575632,-0.027161246847128,-0.0121224931502948,-7.23449838633214e-05,0.0922255358321739,0.029346923977054,-0.276001904581394,-0.0744981704047655,-0.0266136681269643,-0.151874146608116,-0.020976867878681,0.159397426935195,0.0715575198839115,0.0380189582730043,-0.162707160188786,0.0120482167962338,-0.0497706337708627,-0.107260817991487,-0.128665245454173,-0.00895140258957823,-0.0134528103045303,0.118439516615069,0.0569390719451702,-0.0316298181297483,-0.0442630338724305,-0.244436060530255,-0.198533998244201,-0.181141577727783,0.0284418856734274,0.0790191397079906,-0.203464931102415,-0.0917093323288777,0.0660639992339632,-0.0282537277299102,0.0813339933374318,-0.179198754927944
"ARP6_DELETION",0.0620572033299409,0.0160016971389178,0.114680314437222,-0.0695726411196286,NA,-0.0297796637136193,-0.0628584004351978,-0.0673484883110207,-0.0192588346958297,-0.181147160838472,0.136223311186254,0.137227159491204,0.123853781225998,0.0939070373573782,-0.0110399240623322,0.231120337973762,0.07548317986326,-0.0755528711155938,0.0486634270514424,-0.167571159265748,-0.002486393061706,0.0490585963625902,NA,NA,-0.2299887994065,-0.0497298646896917,-0.0739840068382713,-0.0900825055245383,0.0730252357628045,0.0191070985583494,-0.0338250205664967,0.0203804720404172,-0.0521559939875348,0.0938378087963145,-0.0591320384936713,-0.0360547522907487,-0.0898074476587599,-0.0107314979776413,-0.108633737697121,-0.103942631839502,-0.0855929580928629,0.00539863482821537,0.0235004747763097,-0.107559689728744,-0.0760603318227902,-0.146307093259318,0.111665119215294,-0.0398502961003499,-0.160757040727564,-0.0838190966976985,0.192896976264719,0.189588830597876,-0.0785291878680357,0.467876910928013,0.47072875375892,-0.100333739173446,0.0873863139243707,-0.0414246251954529,-0.218764544349559,0.110011041732462,-0.219535018020974,-0.0772000313800484,-0.086917660090103,-0.0924360234371239,0.216663005722823,-0.116179219269884,0.372732427875318,0.103552259042205
"ARP8_DELETIONCLONE1",0.123661051072144,0.307945084773133,0.248969635157271,0.123650069621942,-0.0297796637136193,NA,0.138206131784104,0.104348194959127,0.0129795700908402,0.0613449775608902,-0.0157222029109611,0.0728349008578398,0.0529939057564532,0.153886891335007,-0.00887769789081393,0.00997108656766244,0.045939767196838,-0.0429238863262363,0.0222514344165921,-0.0526615486613984,-0.102773831164433,-0.108407589872925,NA,NA,-0.0701449742691061,0.0676428933612512,0.0823149235237956,0.0449951304876721,-0.0183076410909948,0.0258706510917446,0.00272024960985329,0.013754959644237,-0.0211930774665551,0.0481954502613188,0.0214281663315108,0.0935974797292427,-0.105580438450208,-0.0391800701271468,-0.141560396371934,-0.0541500855004211,-0.0494338290414519,-0.0642298394229388,0.00858526382779233,0.095266813072792,0.00827150959023124,-0.013909470029156,-0.00329410886811951,0.00794639305358494,-0.0599338955190872,-0.0419277033445891,-0.0376760156095905,0.0175698662411707,-0.012550460777059,0.00927243822062905,0.00840154382962388,-0.0852727846421161,-0.0395704062424697,-0.136232116810938,-0.0951774221167376,-0.0223274247741002,-0.120649488498787,-0.130330668645617,-0.121535980610064,-0.0315863294447799,0.0277566909777544,0.107619028063606,-0.014796980929296,0.0113487155834619
"ARP8_DELETIONCLONE4",0.20092657731795,0.324430712423717,0.0882789350280266,0.444774432662651,-0.0628584004351978,0.138206131784104,NA,0.141404905353905,0.0372032074934271,0.0242596164861045,-0.0190151036802188,0.108110586220396,0.0223280886854562,0.0801396737444467,0.0280369593515331,0.0345969058464335,-0.0408107524177778,0.00814656259405071,-0.0501255344332165,-0.0207978069104909,-0.185475344834504,-0.15844464348601,NA,NA,-0.0648701424877555,0.20342404282529,0.00607172953266711,0.0347219491935718,-0.00523061533058709,-0.0490305531469912,-0.0111725822084454,0.0641964944820257,0.0598919992758623,0.111953787293513,0.00792400650803163,0.00420312658239178,-0.0946042250497801,0.123773500372009,-0.187331318594019,-0.0488523175374682,-0.0453062658346182,-0.245194498546918,0.040439339295302,0.165958046857336,0.0120250214479992,-0.0404002426931262,-0.0740249348841352,0.0667866884665511,0.0491747933418856,-0.0517757589865744,-0.0855530852969803,-0.00264163964936776,0.0050072327447973,0.0859834416889609,0.0482896547779653,0.00705457632217183,-0.0524989464076094,-0.123174436800567,-0.0687067231342851,-0.108985402583339,-0.0515035056468592,0.00761549392356728,-0.0923324800497373,-0.0134788931798866,0.0591189938478075,0.0647594293027559,0.0458880633176094,-0.136262325327137
"ASF1_DELETION",0.233641196029725,0.217166965512393,0.138383972287445,0.191297719277439,-0.0673484883110207,0.104348194959127,0.141404905353905,NA,-0.0124138800637959,-0.0629236488974572,-0.13424019708473,0.0835805722023666,-0.044151418739503,0.223816438455271,0.00523387958016378,-0.0621134959008353,0.0702077668471526,-0.112862703614984,0.0912561389320237,-0.05483287676042,-0.0996818017868533,-0.22189988340516,NA,NA,-0.157862785746449,0.175837819643075,0.0447696744508065,0.0330297670379484,-0.000447100107961184,0.0524438123194389,0.110590898310391,0.0705934181342029,0.0198765584247449,-0.0165748639997846,0.101628424936547,0.00675085101290573,-0.0178722732891778,0.0354946322933664,-0.0959069633112356,-0.0999918607938285,-0.115773568320286,-0.232339334441924,0.0231389557270498,0.291148931831144,0.36794040655937,-0.00764826515710423,-0.0415283850998856,0.0633263786912346,-0.0885907723924386,-0.150087263789213,-0.00592118438402941,-0.0132977878018483,0.00371711129002322,0.0808688215357663,0.0337692071364396,0.0727688507457159,-0.0253105000960545,-0.142049790113558,-0.0437705942952249,-0.148428190621066,-0.0684490958236871,0.0876358694893661,-0.0709644216150258,-0.1651591273751,0.0562982665079062,0.084378825401804,0.0709278188021641,-0.100288878513289
"AVO2_DELETION",-0.0707442823054708,0.00500821426064164,0.0552346202468718,0.000245727928939855,-0.0192588346958297,0.0129795700908402,0.0372032074934271,-0.0124138800637959,NA,-0.0272435874842542,0.0655237214256328,-0.0627362245993826,-0.020213009355109,-0.0849066676454978,-0.097411803192759,-0.0104361280530284,-0.0102976017848866,-0.0143012798343952,0.0227722652427424,0.00287086958976619,0.182983327513959,0.0980275109775589,NA,NA,0.017168348666006,-0.043685580389706,0.0271288102907225,-0.0842259014252723,-0.0768279932207424,0.00838914917480071,0.0284823096126366,0.0562399453361682,-0.00594749423895193,-0.104211406820839,-0.0176292518490128,-0.102926869540256,0.00632205324245415,-0.0139109903260008,-0.0082338236608459,0.0673396120543265,-0.0272316125503751,-0.0431721536572316,-0.060995695757292,-0.0732402636010129,-0.0542682516844035,0.13555170848117,-0.0611434171094018,0.079900260751622,0.0817549454570937,-0.0243503097158001,0.0712861272714215,-0.145123793840005,0.15593298063268,-0.0975709731280092,-0.044289737929918,0.0250240752468522,0.0725970250968597,-0.0135763511400128,0.00745891883100986,0.145842205626426,-0.016517434285046,-0.0457565418963521,-0.0743201325988557,0.184394174370286,0.0371944232161639,-0.0783021704646229,-0.10063425547473,0.0302389210802795
"BIT61_DELETION",-0.0419189336349603,0.0429262046319517,0.0142506218930013,-0.0191613259849165,-0.181147160838472,0.0613449775608902,0.0242596164861045,-0.0629236488974572,-0.0272435874842542,NA,0.146442275133011,0.110797572187702,-0.0395735209901201,0.00417543454509262,-0.0564055157649478,-0.0785158320593369,-0.116668136847674,-0.0417941225178781,-0.153738739104663,-0.0730120349519674,-0.0627459693848338,-0.129458274921894,NA,NA,-0.0123527077070018,0.0616786358477142,0.0650084924187026,0.170874341601442,0.00584687480679726,0.0347210481446851,0.0972272458951549,0.0611339643587555,0.134946799324118,-0.0152787997371124,0.116190239417881,0.0830140711956032,0.026500627362429,-0.0892662530779099,0.0812883825101303,0.0513066420089413,-0.0431688812784113,-0.0174508617854838,-0.151922936145895,-0.0582419317333008,-0.0227628266096546,-0.0509017369915975,-0.0119514845276869,0.0382676310457975,0.0474556686827885,0.00271556039118919,-0.175911963208699,0.0497424653651031,0.0251661855831709,-0.109517915780072,-0.102491662924702,-0.0252809458726131,-0.0234965471140611,-0.145242716691565,-0.061161594816276,-0.0259880150983057,0.109864892822708,-0.0623092238985149,-0.0497733271102011,0.126197750799656,-0.0712003298548908,0.00166488560303711,0.0373582641548793,-0.149938024321002
