"","ARP5_DELETION2","ARP5_DELETION2CLONE4","ARP5_DELETION3CLONE2","ARP5_DELETION3CLONE3","ARP6_DELETION","ARP8_DELETIONCLONE1","ARP8_DELETIONCLONE4","ASF1_DELETION","AVO2_DELETION","BIT61_DELETION","ESA1_DAMP","HTZ1_DAMP","HTZ1_DELETION","HTZ1_DELETION2BATCH","IES1_DELETION","IES2_DELETION","IES3_DELETION","IES4_DELETION","IES5_DELETION","IES6_DELETION1CLONE1","IES6_DELETION2CLONE2","IES6_DELETION3","IES6_DELETION4","IES6_DELETION6","IES6_K145|166A","INO80_HASCLONE1","INO80_HASCLONE2","INO80_HASCLONE3","INO80_NTERM","INO80_SPACERCLONE3","ISW1_DELETION","ISW2_DELETION","KOG1_DAMP","LDB7_DELETION","LST8_DAMP","NHP10_DELETION","NPL6_DAMP","RIM15_DELETIONCLONE1","RIM15_DELETIONCLONE2","RRD1_DELETION","RSC3_DAMP","RSC4_DAMP","RSC58_DAMP","RSC6_DAMP","RTT109_DELETION","RVB1_DAMP","SCH9_DELETION","SET3_DELETION","SLM1_DELETION","STH1_DAMP","SWC3_DELETION","SWC5_DELETION","SWC7_DELETION","SWR1_DELETIONCLONE1","SWR1_DELETIONCLONE2","TCO89_DELETION","TOR1_DELETION","TOR2_DAMPCLONE1","TOR2_DAMPCLONE2","TOR2_DELETIONANOSENS","TPK1_DELETION","TPK1_DELETIONCLONE1","TPK1_DELETIONCLONE2","TPK3_DAMP","VPS71_DELETION","VPS72_DELETION","VPS72_DELETION2","VPS72_YL1C"
"ARP5_DELETION2",NA,0.242521031481541,0.167607029006939,0.192436574905588,0.111224523432186,0.200816820775945,0.292631719520266,0.501788344517066,-0.0408493250330688,-0.0455667350889556,-0.240796159372114,0.0798419991418805,0.198954048915265,0.105508878798776,-0.0187118249065099,0.0453586362231761,0.193844481597701,-0.0415673570805598,0.0888801513467604,-0.207187707647687,-0.0827277897052578,-0.0610394386409439,-0.0803055170991746,-0.29896776272332,-0.188182894245049,0.0992649012510829,-0.00609234476978283,0.0909751666007812,0.0560962709027106,0.2450305578281,-0.0844744041238984,-0.116175038071316,-0.171101445155411,0.0186521832127438,-0.103339367269367,0.156862816398652,-0.0387429336974369,0.315379481027052,0.136161298295782,0.0383713688192859,-0.0227240486117487,-0.188796172848126,0.0393374654199737,0.406042313278012,0.0822954986126384,0.109168237786295,0.196821872651996,0.193248904859721,-0.0575561460090581,0.0847792184030447,0.0101552877845173,0.126710146052411,0.149691153329249,0.178280481952645,0.100567033243915,0.0237259737450634,-0.0348863142825637,-0.00674192230492087,0.0519506664647762,-0.0947562401383546,-0.0598621403002464,-0.13099502539556,-0.174725064500877,-0.0209024703684951,0.15824398990523,0.0900372934407319,0.0400885268054066,0.0329351706156941
"ARP5_DELETION2CLONE4",0.242521031481541,NA,0.729344423886316,0.708304999960626,0.0290210554607031,0.653880046272872,0.620579028802485,0.143189614812686,0.06013442384321,0.0245960546702043,-0.14978270989651,0.067071816187725,0.16160294247752,0.230837718865405,0.0895598274907635,0.0851596787837776,0.145902905257904,0.140584251845525,0.149858650259903,-0.229146722247628,-0.00976636419458982,0.00151579091999844,0.0462226631508333,-0.302213018726988,-0.223023449868579,0.0958756383220593,0.0840698255090367,0.045289070003995,0.0723375974371475,0.404037793382149,-0.0653271180310746,-2.43636889672324e-05,-0.165665673890539,-0.00997458920052008,-0.0459681583161925,0.0791379339628507,0.0514254005985721,0.291015972877892,-0.0771157469159456,-0.0576736279686956,-0.0160634289825666,-0.179489544850192,0.0900002755510883,0.226767131558336,-0.17209117593049,0.122302746888354,0.167877537770645,0.103951608032702,0.0600520653958331,0.093680414810004,0.0531614088739722,0.0288101659358577,0.0266707278846396,0.123865898835986,0.128234535247822,0.0679627195142936,0.0609686504018919,-0.409830355804749,-0.0131631091531272,0.0464128644925383,0.0190194082030213,-0.348868877349526,-0.434288126648995,-0.0140705959452373,0.140727262402054,0.111836099851177,0.050858228297677,0.0270919261257212
"ARP5_DELETION3CLONE2",0.167607029006939,0.729344423886316,NA,0.614748093713569,-0.0398147853106299,0.604874571891795,0.636558110702081,0.0835644942713395,0.0986790801426371,0.019025047666664,-0.175857089245078,0.0527924154209059,0.0937522453536495,0.160640013584479,0.071873041700279,0.180545086823325,0.0783844135671089,0.242108361174533,0.101096429821222,-0.125318295126624,0.0549712828311354,-0.0207192053945524,0.0922750734143448,-0.159525660123992,-0.172147299124143,0.100781030372248,0.0989474360083499,0.0337958372201183,0.0873411443384984,0.321610316094737,-0.0395240265677988,0.00636997054260559,-0.144099772826058,0.0245674353798306,-0.132628101182321,0.0554609539886232,0.156797915947369,0.255861877053746,-0.0797790210139075,-0.118005777337775,0.0383832297816833,-0.0816074185707659,0.0114013013148412,0.147252179065185,-0.199842995510401,0.0617094655814964,0.126749522538766,0.0324591222005055,0.0666180418065544,0.0540554481498333,0.0336157444539763,0.017925158643985,0.037146176580324,0.000147967934800215,0.0465249932252412,0.144015196717382,0.0732037016301382,-0.236912909322593,0.0777891158505355,-0.079712988935009,0.136956667439717,-0.222224984092618,-0.398687703038111,0.0120261101672843,0.0463713844226048,0.0622519925398485,-0.00480767067434805,-0.00338631829430646
"ARP5_DELETION3CLONE3",0.192436574905588,0.708304999960626,0.614748093713569,NA,0.0965328692237131,0.577910541337735,0.45035825845312,0.115414470280449,0.00911034683676615,-0.0265501351658008,-0.103955851901665,0.143949479119409,0.118642028491443,0.182914888640205,0.0851074650769352,0.134348374354012,0.079957534209047,0.129900161651223,0.0771495586152721,-0.135555273868051,-0.000792722335744408,0.0254698496174613,0.0151661104675729,-0.190294953798512,-0.155162094606202,0.148042835084252,0.118052031449317,0.00757565735160718,0.0430649402816955,0.295660318902506,-0.000252980138037733,0.00907700152475026,-0.0972095056415858,0.025771925632788,-0.106075382924669,0.0771173007193472,0.0424259338143223,0.207571822492095,-0.0708034751714958,-0.0767019283967488,-0.039339689762848,-0.0938766257913056,0.017465617294413,0.135565066593338,-0.140533811491375,0.046637580074815,0.194880811576592,0.0137974129188354,0.0393728914367446,-0.0356520726972744,0.0883213299378715,-0.00457781739954754,-0.00290925396730585,0.131192260533562,0.181093625906292,0.0611239907449601,0.0401953343315268,-0.275898653684265,0.0165706116578406,-0.000776963552476774,0.0609796121976745,-0.246935307857339,-0.342779285124922,0.0177318372906778,0.0926126737023784,0.105845375135386,0.017472968405349,0.0686321939131413
"ARP6_DELETION",0.111224523432186,0.0290210554607031,-0.0398147853106299,0.0965328692237131,NA,0.0139316133610702,-0.0122402880552223,0.0988452251727298,-0.0111148018014877,-0.0910778010645685,0.0764579165530323,0.195721044959068,0.212453651428062,0.126871187978488,0.0388843936623629,-0.0059893554572049,0.00531899289262331,0.0233059987861241,0.08115289015246,-0.0825202867760363,0.0453454540539886,0.0800747625969568,-0.0586200413529475,-0.105782051689548,-0.145033023975551,0.141757105748017,0.0268492325574065,0.0781669732770085,0.000737984869868979,0.0710301818252607,-0.0730795275681879,-0.167543775525114,-0.0672377345488349,0.0415199699401183,0.0757244450835733,-0.00844792448837632,-0.0802801513180755,0.152617581842599,0.138952302225724,0.0849284295629841,-0.0970726663639085,0.0372882271000545,0.114823926958229,0.0415787941505012,0.0978703490863813,0.0437553683512828,0.0420352265169779,0.14671690191059,-0.0184478893405303,-0.0245009518791746,0.23099078689628,0.211396020496531,0.0496925350098633,0.581118998146595,0.484715738192975,9.93960973770776e-05,-0.0336689035269695,0.0550114663052827,0.00191950373189923,0.0334370664891389,-0.0880057486509385,-0.0192379965344144,-0.00955357400487161,-0.18703730892807,0.445042115111741,0.456074696117221,0.465704381468663,0.371843432680102
"ARP8_DELETIONCLONE1",0.200816820775945,0.653880046272872,0.604874571891795,0.577910541337735,0.0139316133610702,NA,0.702682788565128,0.141865069336455,0.066250177796257,0.0293928674980417,-0.121708059193699,0.0760437682135675,0.0891418956718011,0.193501455142038,0.00924029876962337,0.0994154948062805,0.104373301486009,0.23244265410799,0.183045960295399,-0.155531475140766,0.0924333036439266,0.119066857409865,0.143073691818595,-0.263231400756159,-0.264662228569718,0.165636655486838,0.238782875529863,0.142887805108205,0.0795859858378013,0.423576909581609,-0.000288387413849219,0.0116284536044142,-0.116750998378654,-0.00408939411201872,-0.143387920276787,0.0425919290855598,0.220298227206973,0.249383270913398,-0.0456533328065818,-0.0710566951937409,0.0478985138566837,-0.0448783277024043,0.0291209728565346,0.133473937426622,-0.114430088410133,0.118146264683836,0.112379836236512,0.0515589318528949,0.0926721723526217,0.0943703226626699,-0.0013735498150671,0.068384211020183,0.054164553581576,0.0155510914386465,0.0559970599543785,0.149701741421589,0.147751736250566,-0.43072560631851,0.106357050829322,0.0541337786535352,0.210246206644029,-0.380746181276864,-0.440785749532995,0.0202758225568309,0.0682654531765088,0.0495100006599103,0.00735991274087515,0.0677421663625513
"ARP8_DELETIONCLONE4",0.292631719520266,0.620579028802485,0.636558110702081,0.45035825845312,-0.0122402880552223,0.702682788565128,NA,0.192049996999564,0.074298307691159,-0.00479194582367531,-0.13183997203903,0.118055744541223,0.165571397102004,0.15753363679908,0.00288322160196478,0.136510453465752,0.0882930586578841,0.0894998007939967,0.100491633436098,-0.104142054753834,0.0406456910984857,0.0342980449044535,0.0513544976291733,-0.14857279064949,-0.172107040956019,0.16187446145108,0.213669804984658,0.234571816903368,0.0637036486407346,0.379414436155118,0.0244312802265051,0.0158080394123824,-0.0546208056102726,0.055810866765138,-0.00713272672515422,0.0774911116478596,0.141405868387018,0.181497488606507,0.0352703789563175,-0.0556842421899086,0.0223139574020175,-0.105996541131666,0.10105667334431,0.180373065615482,-0.00608291533953097,0.052361127492509,0.0383034522661708,0.095864097691469,0.0300079570032853,0.0455408019102931,0.0329176712571494,0.141686628334116,0.0404619629138897,0.156462008162169,0.140296601456947,0.174836795045902,0.0907698509250516,-0.109005673909406,0.178018574140466,-0.0322877568148828,0.143386329539363,-0.184834984144118,-0.277020721182366,0.0254890615515914,0.0867687836011215,0.14507611977682,0.111525011844691,0.0540741863329468
"ASF1_DELETION",0.501788344517066,0.143189614812686,0.0835644942713395,0.115414470280449,0.0988452251727298,0.141865069336455,0.192049996999564,NA,-0.0836884778272622,-0.091910280657701,-0.324220010224352,0.0318147583246868,0.183100577559419,0.052594461425608,0.256676777369964,0.13110530145909,0.233609758098406,0.0145690472375089,0.0989997168623832,-0.125411104806595,-0.00712278631944937,0.0403348689505395,-0.104554340467294,-0.137590392026186,-0.254471758373403,0.138328920163739,0.126534926663502,0.0707930317539789,0.12996470006841,0.0768750940320593,0.0485191885654241,-0.137407885397498,-0.114540761694659,0.0550495164938633,-0.120203277440003,0.0414392614021784,-0.0879534325057187,0.245505668087252,0.200454201543246,0.0239382698161557,-0.0788961216071106,-0.305602626609496,0.285178680922737,0.642138663806988,0.371386395903947,0.0804446455692155,0.160629482013523,0.198621047812322,-0.113827883181196,-0.0205317118135196,0.151976675268378,0.104915041228246,0.102475352726625,0.203588851701906,0.224744767561922,-0.00061810755381973,-0.175932123445322,0.0089652632385958,0.076578815758821,-0.0112016726420084,-0.0435681026461745,-0.0175470694196834,-0.082653832684884,-0.0369475167254481,0.286513546261606,0.139062592829061,0.0731140195102658,0.127793304796475
"AVO2_DELETION",-0.0408493250330688,0.06013442384321,0.0986790801426371,0.00911034683676615,-0.0111148018014877,0.066250177796257,0.074298307691159,-0.0836884778272622,NA,0.266914222780892,0.0690474714370335,0.031894344039735,-0.0296542010048768,0.0406922525471424,-0.0321962718511632,0.0146665178976915,-0.0189194539826776,0.103992606519547,0.0347087714107209,-0.0376093203369686,0.0955290637942118,0.0444964779651932,0.0965682441688926,-0.0963467126698123,-0.0811294133080712,0.0183833351484004,0.0592073682297621,0.0370384208587671,0.0453540267815218,0.0819957448481751,-0.0616545647282384,0.115690460413259,0.0506426183212615,-0.185981761489226,0.150323293609413,0.0816563513231856,0.0515514256546929,0.219528664440765,0.039614793913552,0.0322170565062166,0.0439329725570173,-0.0221987299014915,-0.140838752976091,-0.08141063791967,-0.224282476461475,0.218443864687033,-0.0246999043131828,0.284400820653596,0.372465923610497,0.18006483225485,-0.000793113294614699,-0.0255574082672019,0.307856888136538,0.0124045717717753,-0.0161696770519407,0.0106764888968551,0.110873411560319,0.00311545746994625,0.0379896561367332,-0.0645767170135249,0.0371386662502201,-0.0862264112672614,-0.128769471876261,0.227622272626269,0.0891555835874574,-0.0317698538507864,-0.0656048295484241,0.0322493230052353
"BIT61_DELETION",-0.0455667350889556,0.0245960546702043,0.019025047666664,-0.0265501351658008,-0.0910778010645685,0.0293928674980417,-0.00479194582367531,-0.091910280657701,0.266914222780892,NA,0.0696263335310177,0.0100905781007557,-0.117526322008955,0.00586368397888811,-0.0204009875747434,0.0713933198820695,-0.00350694820959567,0.160630734473086,0.0415295455624403,0.0801964001095504,0.097539151411226,0.0913520323735766,0.152095639142014,-0.0654401656039501,0.0126076651899403,0.0168351383967084,0.167915195506273,-0.0112821796412517,0.014999460007945,0.00361096451361868,-0.0586336503503721,0.215145638392628,0.190355410568863,-0.166810292048533,0.0232148084963872,0.0567446467801329,0.0199678422807876,0.162692016987937,-0.0052374746152426,0.0472749400500332,0.198680246824779,-0.0602709316672544,-0.0897665574451576,-0.0790083606681952,-0.178609675848914,0.0694571469985325,0.0359052421063492,0.204984649322417,0.454963785239317,0.228836684200675,-0.17388965998277,-0.0632945060377951,0.311564492900414,-0.122589009497526,-0.0245513237412215,-0.152787054143707,0.13809921215575,-0.220967769988383,-0.028610883453255,0.0342700650674353,0.050860070130357,-0.112455148635727,-0.186751076027422,0.266720098722434,0.000870932453077243,-0.0653070170218785,-0.106143053569675,-0.03577914697414
