"","ARP5_DELETION2","ARP5_DELETION2CLONE4","ARP5_DELETION3CLONE2","ARP5_DELETION3CLONE3","ARP6_DELETION","ARP8_DELETIONCLONE1","ARP8_DELETIONCLONE4","ASF1_DELETION","AVO2_DELETION","BIT61_DELETION","ESA1_DAMP","HTZ1_DAMP","HTZ1_DELETION","HTZ1_DELETION2BATCH","IES1_DELETION","IES2_DELETION","IES3_DELETION","IES4_DELETION","IES5_DELETION","IES6_DELETION1CLONE1","IES6_DELETION2CLONE2","IES6_DELETION3","IES6_DELETION4","IES6_DELETION6","IES6_K145|166A","INO80_HASCLONE1","INO80_HASCLONE2","INO80_HASCLONE3","INO80_NTERM","INO80_SPACERCLONE3","ISW1_DELETION","ISW2_DELETION","KOG1_DAMP","LDB7_DELETION","LST8_DAMP","NHP10_DELETION","NPL6_DAMP","RIM15_DELETIONCLONE1","RIM15_DELETIONCLONE2","RRD1_DELETION","RSC3_DAMP","RSC4_DAMP","RSC58_DAMP","RSC6_DAMP","RTT109_DELETION","RVB1_DAMP","SCH9_DELETION","SET3_DELETION","SLM1_DELETION","STH1_DAMP","SWC3_DELETION","SWC5_DELETION","SWC7_DELETION","SWR1_DELETIONCLONE1","SWR1_DELETIONCLONE2","TCO89_DELETION","TOR1_DELETION","TOR2_DAMPCLONE1","TOR2_DAMPCLONE2","TOR2_DELETIONANOSENS","TPK1_DELETION","TPK1_DELETIONCLONE1","TPK1_DELETIONCLONE2","TPK3_DAMP","VPS71_DELETION","VPS72_DELETION","VPS72_DELETION2","VPS72_YL1C"
"ARP5_DELETION2",NA,0.181145462424418,0.0246642084690645,0.170462404557196,0.112740401097831,0.0153870322021179,0.197127255852092,0.133417198948477,-0.0552645273003712,-0.0451491847309879,-0.10936235436609,0.113602687119234,0.109864293793769,0.156377977953847,0.0132547480484486,0.0069761722589832,-0.0203730846239856,-0.0170313913831977,0.0580016673135384,-0.1926588515408,-0.12253658569459,-0.0489940240662284,NA,NA,-0.0764027616084928,0.168507864366218,0.0187923204968145,0.00685976611102272,0.0722155109181166,0.0301218086918419,-0.0423310663387396,-0.0893726702865977,-0.0483384816497182,0.0405552712237488,-0.035983208019527,0.0398282333789064,-0.0672337089951506,-0.261425697073519,-0.0961492223678018,0.0116212767021538,-0.0610631815426696,-0.149728572846959,0.0192069940935655,0.104243488199119,0.0287430928929349,-0.0040494424672546,0.0262922620164213,-0.0154062940748466,-0.155803235614257,-0.0898424957710984,0.0314007533754819,0.0138575966039043,-0.0684056579684507,0.137335374252836,0.150074769377573,0.0225575523621198,-0.0813912942683074,-0.0068689333928718,-0.150558128637358,-0.0528240200137357,-0.171668926630467,0.00495587549010277,0.0210685854939913,-0.119844629702288,0.13127222671155,0.0989829844767033,0.145678250680426,-0.0310857786544456
"ARP5_DELETION2CLONE4",0.181145462424418,NA,0.341487499422905,0.450325537689528,0.0660025265339856,0.19822889015516,0.25544063452461,0.11932403327992,-0.00201826212501883,-0.0211193186310548,0.056180631089596,0.142691506316129,0.0565730536183015,0.313749071024795,-0.0244734742532241,0.0504151697274612,-0.0509998705378028,-0.142734595595938,0.0218409169638315,-0.326141051129114,-0.0892745799360563,-0.197954772363658,NA,NA,-0.250132651053761,0.0330613652733447,0.0524971743346421,0.0466000919979106,0.0471686054182744,0.0773104443386554,0.0564791119053861,-0.00272598154036506,-0.00156792633080926,-0.0221786314233306,0.081112161240448,-0.0404306942657266,0.0352091527352174,-0.0572055216078429,-0.199230644112806,-0.0569052933271861,-0.182959477660377,-0.0139268933210457,0.0798443873802931,0.149212793948182,0.0940450267783789,0.00186745686891903,-0.00902445582574903,-0.0397549041457948,-0.043956186247552,-0.0864816686307556,-0.0591725467102927,0.05362903456914,0.108989735265196,0.104224205591971,0.125716881583236,0.028672853833103,0.00234689087774412,-0.150933181737841,-0.334442240563018,-0.214499232794604,-0.000532216248447056,-0.0909536931803334,-0.161058520332638,-0.0877190249516203,0.0669325863080109,-0.130082839725902,0.169007922045082,0.00549920776605111
"ARP5_DELETION3CLONE2",0.0246642084690645,0.341487499422905,NA,0.395334154526759,0.103391702495245,0.198847980285228,0.245996306960799,0.0728076156431493,0.0891756131661863,0.0100081551484274,0.111572597302498,0.0500116926556963,0.0832185520283919,0.124626856006363,-0.0268090920006423,0.168072547142323,0.051045662818527,-0.0999851295954439,0.0117196992264605,-0.184385628092728,-0.0898382278667623,-0.16656472473466,NA,NA,-0.239399808169384,-0.0353629823327519,0.0686297825755688,0.0449818991240852,-0.00937675992321572,0.108466366234071,0.0552050847318261,-0.0123179597048746,-0.0247209524844165,0.046053739806558,0.0176052474438102,0.00320964860537122,0.0610258798326274,-0.0780382932677481,-0.229579466128218,-0.0246434778152953,-0.123024774104332,-0.00526969290144291,0.0358699730030762,-0.0103521366820759,0.0179030223833689,-0.0680915310891452,0.00382486576201062,-0.00508190761285356,-0.0375814819024825,0.0131616674278274,-0.082939641965249,0.063042583881102,-0.0813438322276923,0.073061272934217,0.00643440224095675,0.00890397589449059,0.035304625446647,-0.0993831488253702,-0.289846903552532,0.0184462493658051,-0.0221062231865903,-0.226511116309784,-0.274031305515069,-0.0267488968962677,0.00798285386729432,-0.0785259414288196,0.0791223104492806,-0.051910667807263
"ARP5_DELETION3CLONE3",0.170462404557196,0.450325537689528,0.395334154526759,NA,0.0143305021547119,0.102491871405978,0.296239074307854,0.17870791179187,0.0317234527612226,-0.0401796357623766,0.0876887472484871,0.174332902380258,-0.0794459189660596,0.229644300621514,0.0131475627625446,0.0813251008397281,-0.0233203427546597,-0.0975357929458417,0.0234502006912942,-0.333984028560647,-0.144347138441491,-0.195955885472816,NA,NA,-0.246502129282425,0.0590199119342166,0.00831023375330236,0.0576520287789935,0.0137402626308524,0.138291468871552,0.0541244477617463,-0.0330756471145834,0.0514593293753115,0.00239931982960309,0.0646134738029902,0.030072055940452,0.112697678024436,-0.1447913201495,-0.164763044170206,-0.0508154249793905,-0.120407975355128,-0.0311130467845491,0.0843822052330637,0.075417895712619,0.125165773168949,0.0429063946077316,-0.0306668024841033,-0.0223623401817306,-0.0610727871896918,-0.0734927809337355,-0.0104495320120124,-0.0138364764895535,0.0541374511190566,0.0857183601568956,0.0648773519636426,0.110885669816665,-0.0248525793705396,-0.0242914794238507,-0.333038761385288,-0.149942618204251,0.0240404610557413,-0.0309822260663999,-0.174728686664479,-0.035782208651887,0.174015812699393,-0.144183749830254,0.193450497182935,-0.0173897530527615
"ARP6_DELETION",0.112740401097831,0.0660025265339856,0.103391702495245,0.0143305021547119,NA,0.0137476078643965,0.105785149085815,-0.0858514275808153,-0.0284797002284465,-0.0914311593902721,0.14483080782325,0.115676265377758,0.0826138057193896,0.239956120681019,-0.0375353696244904,0.226480870420118,0.00254066168378294,-0.0885837381650599,-0.0157922563592731,-0.102812247715871,-0.0544996729021395,-0.0670068362065365,NA,NA,-0.294954437358163,0.0390657021209326,-0.0154202226944289,-0.015386176051848,0.047632609315774,0.0617090397008384,-0.0463445411902936,0.0124141341156701,-0.100155969175814,0.0407941923207442,-0.0744020525276927,-0.0801314572745799,-0.0108410646533698,0.128584657407591,-0.0910715678000724,-0.116120557929005,-0.0852227828136693,0.0042571463919918,-0.00320318226240082,-0.102072488012204,-0.177523511342725,-0.177416812727811,0.09441773961597,-0.0213164157737568,-0.0945420604226294,-0.0311941419809785,0.156206796296509,0.212426811782042,-0.111268351877516,0.436648761546635,0.408025467107599,-0.0714073459191083,0.155642435299375,-0.11076280446332,-0.194565336368243,-0.00923795146413133,-0.173661252228354,-0.0525832807405598,-0.152002486066585,-0.0402080147727206,0.225070231352371,-0.13035168300209,0.29731942730119,0.102805753741902
"ARP8_DELETIONCLONE1",0.0153870322021179,0.19822889015516,0.198847980285228,0.102491871405978,0.0137476078643965,NA,0.227868941853521,0.0327225470133289,0.00847257012806688,0.0193843418834987,0.0874053608443577,0.0232379345365857,0.0493570470017108,0.0688062040366031,-0.0538257635385148,0.0478491996276686,0.0347810268318459,-0.0432933670443791,0.00372759209248794,-0.146786554836262,-0.0171308893391498,-0.103058990181144,NA,NA,-0.146915790769632,-0.0278832720744016,0.146275304005919,0.0813119594367861,-0.0371477221329255,0.0583735780448655,0.0104981993216,-0.0441391626052677,-0.0241158053755307,0.0524650870489256,0.0818828534741792,0.0533091226280843,0.0366317060647432,-0.00584306703466893,-0.15828828653529,-0.0652019940462263,-0.171249656983659,0.0301631622969613,0.00262705527400879,-0.00941854545863637,-0.011984360507186,-0.0442111258921947,0.0685052481380161,0.00764418097233575,-0.0626136334088616,0.00472659333530366,0.0248739634836212,0.0212069998274959,-0.0640244310499506,0.0575676801673257,0.0295848839233017,0.00761810506734906,0.0527194963880047,-0.159425782489612,-0.217672109301769,0.0217098544360399,-0.0114912043689548,-0.145016347320256,-0.171633407367696,-0.0271203414856368,0.0016073010012833,0.0145517191911875,0.0242703855323081,0.00381917782925168
"ARP8_DELETIONCLONE4",0.197127255852092,0.25544063452461,0.245996306960799,0.296239074307854,0.105785149085815,0.227868941853521,NA,0.133584295436627,-0.150403730797632,-0.0282347829253786,0.0291440313048404,0.34574290644825,0.0332165712194126,0.291227273234455,0.0804003689861511,0.0753700463434625,0.0613382919166827,-0.116865371785043,0.0303465959904371,-0.27027509157409,-0.261920639604399,-0.23862353494936,NA,NA,-0.184520365974639,0.298184722192257,-0.0128751870744487,0.0751982173828196,0.013041957609604,0.0391285035372474,-0.0322379974012007,-0.0643678500346723,0.0112331211952306,0.0338881791490607,0.0205818473979102,0.0209997055596062,-0.0204773535547915,-0.20155429855248,-0.053640108589454,-0.0913448259963718,-0.1223506032161,-0.0757901272399317,0.0745330591918407,0.175204577752248,0.0464794045771892,-0.0805310218685451,-0.0085177421492162,-0.0279001108542069,-0.0772750596345551,-0.0433721495859953,-0.0103761015897058,-0.0025102568117003,-0.0775710534608503,0.176261519539763,0.0661604406192922,-0.00332428112820785,-0.000960987290595687,-0.023723397220579,-0.283552566901068,-0.184188578513151,-0.0718386906622202,0.078497508092209,-0.033933572615502,-0.118218248939487,0.06605542875643,-0.00978998817738125,0.13128381406736,-0.10961276187851
"ASF1_DELETION",0.133417198948477,0.11932403327992,0.0728076156431493,0.17870791179187,-0.0858514275808153,0.0327225470133289,0.133584295436627,NA,-0.0369337316676001,-0.0406394930749094,-0.0638622139191429,0.1480907684554,-0.0205270534100793,0.146558371100129,-0.0150858350420552,-0.0698284319635283,0.0243964886129902,-0.0542458291887484,0.126417184469988,-0.16109423753458,-0.138523750006815,-0.141552188345974,NA,NA,-0.0695391153732952,0.166617414944521,0.0633602756013248,0.0867832268410062,0.0213925351515633,0.0465552687084655,0.101460641530318,0.0207356343080942,0.092759274820405,0.0246576877041132,0.0901161019494514,0.0321593616695285,0.0178785533507,-0.190019470056033,-0.0247372198347522,-0.0415716285035297,-0.069601561988043,-0.131953587828851,-0.00926914132982044,0.212717954271618,0.339091007912563,0.0188140685296755,-0.0251817312475897,-0.0111068607751687,-0.102518666761365,-0.139503548152878,0.002906962046393,-0.0598908301304163,-0.0316949518309238,0.0535486541333342,-0.00706118267266446,0.0184006085708398,-0.0667361133505964,0.0177571656388297,-0.144887274432672,-0.127005278146226,-0.0666576315764682,0.0565982688315621,0.0270580299035064,-0.143750927222651,0.0315199380901043,0.0367086330053232,0.058484914199087,-0.115477319055748
"AVO2_DELETION",-0.0552645273003712,-0.00201826212501883,0.0891756131661863,0.0317234527612226,-0.0284797002284465,0.00847257012806688,-0.150403730797632,-0.0369337316676001,NA,-0.0902502586475747,0.107078686633985,-0.0369271820547049,-0.023684623356664,-0.06474207529724,-0.0483537624664595,0.036982254590941,-0.00425301730692819,-0.0831752504256764,0.0461327836076263,0.0804782979615481,0.314198037723128,0.138460009911038,NA,NA,-0.0171179971441544,-0.0778681520990473,0.0158809109615789,-0.131863003097379,-0.0663179785230237,-0.0760247477307916,-0.0196033596519174,-0.000581777363462741,-0.0247974296366052,-0.0973608344647679,-0.018657248375482,-0.0772568551653404,0.0254403105566823,0.0856230295881555,-0.0713947000052937,0.135246142509396,0.0138143037012509,-0.00253561511166927,0.0216252819069024,-0.0451044805299646,0.00301528522766533,0.17128705752007,-0.0373617001983859,0.034523505546383,0.0870659864550907,0.0892251579699341,0.113713510053487,-0.0173425948092715,0.0709326998588437,-0.030504251751448,-0.0799876381838926,-0.0345185470690485,0.0481605773158887,-0.0315667806476673,-0.0442525385442584,0.194010113481129,-0.0590718971164431,-0.123811511528704,-0.0543918784775753,0.108312615692224,0.0690465505091196,-0.0932553348892806,-0.0616133599349165,0.113000313672891
"BIT61_DELETION",-0.0451491847309879,-0.0211193186310548,0.0100081551484274,-0.0401796357623766,-0.0914311593902721,0.0193843418834987,-0.0282347829253786,-0.0406394930749094,-0.0902502586475747,NA,0.00362467073532995,-0.0194589261239715,-0.0304727883069984,-0.023483204633177,-0.091180429779544,-0.0631132196046547,-0.106751733219226,0.0679557433394927,-0.126525543592903,-0.0032769164117195,-0.0828280019062671,-0.0220026914672392,NA,NA,0.0257829267659598,-0.00957168991313385,0.0506115096892644,0.146050028284172,0.00748339101427733,0.0203297679921496,0.0398180684785356,0.0411014332980073,0.00245399831303376,-0.0576788581245819,0.0329067236948526,0.0109920531780766,0.0110610008598465,0.0700606448183922,0.0716573544828375,0.107107505085494,0.0754982352145264,0.0695991707124254,-0.149937792853108,-0.115488081851896,-0.00030053267675457,-0.0375504750761604,-0.0433378641039216,0.0490213551701051,0.0726182999538507,0.0183224073867235,-0.0895005687172193,-0.0492150587499616,0.0267615571247241,-0.102930874291997,-0.00347466031281303,-0.0488513257901383,0.0448686781239097,0.00576042920479887,0.00875211573648772,0.0184358325161312,0.188894367157707,-0.0396365582790419,-0.069483106514245,0.102489664674628,-0.0785693401149535,-0.0463929921395462,0.00813400811204141,-0.147533733115632
