"","ARP5_DELETION2","ARP5_DELETION2CLONE4","ARP5_DELETION3CLONE2","ARP5_DELETION3CLONE3","ARP6_DELETION","ARP8_DELETIONCLONE1","ARP8_DELETIONCLONE4","ASF1_DELETION","AVO2_DELETION","BIT61_DELETION","ESA1_DAMP","HTZ1_DAMP","HTZ1_DELETION","HTZ1_DELETION2BATCH","IES1_DELETION","IES2_DELETION","IES3_DELETION","IES4_DELETION","IES5_DELETION","IES6_DELETION1CLONE1","IES6_DELETION2CLONE2","IES6_DELETION3","IES6_DELETION4","IES6_DELETION6","IES6_K145|166A","INO80_HASCLONE1","INO80_HASCLONE2","INO80_HASCLONE3","INO80_NTERM","INO80_SPACERCLONE3","ISW1_DELETION","ISW2_DELETION","KOG1_DAMP","LDB7_DELETION","LST8_DAMP","NHP10_DELETION","NPL6_DAMP","RIM15_DELETIONCLONE1","RIM15_DELETIONCLONE2","RRD1_DELETION","RSC3_DAMP","RSC4_DAMP","RSC58_DAMP","RSC6_DAMP","RTT109_DELETION","RVB1_DAMP","SCH9_DELETION","SET3_DELETION","SLM1_DELETION","STH1_DAMP","SWC3_DELETION","SWC5_DELETION","SWC7_DELETION","SWR1_DELETIONCLONE1","SWR1_DELETIONCLONE2","TCO89_DELETION","TOR1_DELETION","TOR2_DAMPCLONE1","TOR2_DAMPCLONE2","TOR2_DELETIONANOSENS","TPK1_DELETION","TPK1_DELETIONCLONE1","TPK1_DELETIONCLONE2","TPK3_DAMP","VPS71_DELETION","VPS72_DELETION","VPS72_DELETION2","VPS72_YL1C"
"ARP5_DELETION2",NA,0.42523509666335,0.269275061098335,0.321810895008887,0.0253620906925689,0.297399912484804,0.340366487402939,0.223446535741717,-0.0682593804916715,-0.082496726817621,-0.116712239968291,0.10824104258626,0.221170520380572,0.105217821760692,0.0169834080864582,0.167072921478389,0.0419499456750446,-0.0448018643987932,0.0457521321282685,-0.0310989862159681,-0.246872737509869,-0.273853827509771,-0.0547840953322267,-0.0811128316863433,-0.123854061368479,0.0617934224193904,0.0112640722151778,-0.0585789057270775,0.0934847930435442,0.0167997897362365,-0.128250045534434,-0.0763477843309961,-0.0758459230003685,-0.0656072900522068,0.0969314343188518,0.0173961793226397,-0.089334812450514,-0.0402002388790047,-0.26826392857118,-0.0125861172411715,-0.124153113930603,-0.181283097374799,-0.0263984543526573,0.180985215116599,0.104615491424937,-0.0541716776495057,-0.00383835112477773,0.101870195954185,-0.138972609336653,-0.100797785126769,0.0648081537863667,0.181991474329761,-0.142174980454562,0.139878562955321,0.149491573241655,0.135550734606274,-0.10680639090332,-0.102076044135162,-0.159341265345937,0.143474615575087,-0.068204462935348,-0.0401368150801831,-0.0745432170158301,-0.143854497803971,0.125511571768525,0.0831842781205153,0.0861725920751163,0.00443654509339651
"ARP5_DELETION2CLONE4",0.42523509666335,NA,0.724379593427323,0.496772908403088,0.136042027861946,0.590325021596117,0.387137035186918,0.311443003956735,-0.0485323487833977,-0.120111839698094,-0.0240813461332507,0.199429164969553,0.0381751258014933,0.0926853168221656,0.148874593701981,0.313120166537833,0.238274804664759,0.132321236879816,0.229630164389874,-0.123660556026652,-0.276994335740269,-0.425810484714436,-0.203108284159294,-0.310556057532161,-0.130753240432555,0.126564735621708,-0.0769444279281695,-0.0785441819299672,0.179141066328963,0.149067176222639,-0.0817215650767789,0.070244012530232,-0.0197345947800155,0.0333103238138725,-0.0566562986228591,0.195880735869253,-0.156699673278047,0.0383832878912206,-0.264951759724059,-0.108648376746788,-0.189279625800928,-0.187642548268322,0.154908038569875,0.219572083472375,0.237789059285883,-0.0528187117156979,0.0337450497668419,0.0598168457699771,-0.177668683688335,-0.0851401803208021,0.155966564870982,0.120965068544823,-0.140505534344072,0.178804484099686,0.205316336191215,0.115383405586328,-0.0392581002756963,-0.25330497470323,-0.166852301268245,0.219292146858631,-0.192788118454774,-0.179395749159352,-0.168015763098485,-0.169497052939246,0.113950369960709,0.138942119816317,0.180326657589651,0.0718596325090696
"ARP5_DELETION3CLONE2",0.269275061098335,0.724379593427323,NA,0.454294619819765,0.0627866086770371,0.550415380326326,0.297033069205483,0.17990554381511,-0.0908362757940257,-0.100321630397336,-0.00886229718229107,0.0870429721236897,-0.0178662971332176,0.0389011509682701,0.193797554560217,0.383268172353458,0.218428286933568,0.130798264988053,0.274170632899966,-0.0833265705194801,-0.298063011704823,-0.390538534326113,-0.10587992525948,-0.228313067217286,-0.117048577068241,0.134387218139147,-0.0171455805818637,-0.0679412607329397,0.222312522004309,0.121807842807473,-0.10204088074407,0.145758732437131,-0.0304042335464042,-0.0230715182369905,-0.0248371841450362,0.244179066502028,-0.0940630936266386,0.0414305269222413,-0.268733241496502,-0.0976644900839401,-0.170305594505331,-0.166718828008333,0.100811895861073,0.16362037088559,0.175748617048131,0.0375929486688578,0.0173202643781633,0.0262658885165165,-0.132364042600434,-0.122375108795403,0.0992107522027103,0.0772442236553063,-0.123526309066107,0.0701984819384382,0.107566540728183,0.0540029734794211,-0.040395562452561,-0.197159975440704,-0.106903214052073,0.261190566979819,-0.125055050075342,-0.211214384757378,-0.204619515532199,-0.12040495408517,0.10504765413977,0.120579724313723,0.0853419702469635,0.0534467648584035
"ARP5_DELETION3CLONE3",0.321810895008887,0.496772908403088,0.454294619819765,NA,-0.0755602126790747,0.220485865905385,0.485889583989572,0.209000143561437,-0.0153056861791891,-0.0986311655660082,-0.0765623650421943,0.0164681529559371,0.00256906943662723,0.049499594174849,0.0807832799039071,0.213967224257882,0.0243919185567582,-0.0194222927252333,0.128982691716678,-0.0939243603876608,-0.204825315073867,-0.46315577273766,-0.0713048790153211,-0.226971072770696,-0.165972333825976,-0.0319374568460042,-0.00657503286827674,-0.049911223143196,0.0431255862261309,0.0297421078962157,-0.0498160196365659,0.0515599173644172,-0.0272567950543767,-0.00347928148063074,0.0246528657408488,0.0522354610072974,-0.0510752677034461,0.0240552645459107,-0.264876109141068,-0.0601592127318722,-0.0525025765230362,-0.115960348996441,0.00950323511624314,0.197531015487796,0.134824572526383,0.0145108184020807,-0.0886490890719241,0.00538838394575911,-0.126578412750135,-0.111194628603964,0.0472608410967776,0.0231771321047062,-0.149432153246195,0.0119131754093993,0.0202232251716327,0.126354602374761,-0.0541480815684825,-0.191679523154071,-0.207035340544892,-0.013415013494451,-0.0241423836261825,-0.053829227151003,-0.176815226168438,-0.15176980681735,0.0439249780868851,0.0547318118917701,0.00149437423885705,-0.0964436554047031
"ARP6_DELETION",0.0253620906925689,0.136042027861946,0.0627866086770371,-0.0755602126790747,NA,0.129489577286402,-0.00874656960925313,0.020719033481471,-0.110240946175077,-0.18434541794309,0.0231403373054807,0.574629193581976,0.280816433015132,0.548429796516146,-0.0178470492068195,-0.0477017751669043,0.0295108449562148,-0.0711375641543079,-0.0485830444412421,-0.115496004874986,-0.166269496246605,-0.115009577148409,-0.202261072042623,-0.188518838681035,-0.0734996884951392,0.371647306635067,-0.0455415711696787,0.0397859245387105,-0.0428452301028554,0.262561090950915,-0.202793165785864,-0.0606056447881034,-0.177414083857079,0.174707985414792,-0.132507922574596,-0.0114798802598285,-0.242622699659561,-0.00234154743073606,-0.0622247814144879,-0.131862421293028,-0.123576912756774,-0.0857825382744544,0.0429199326704607,0.125593902006358,-0.00551495800245429,-0.105302168459033,0.0424223697719463,0.0528931766288571,-0.234676411003517,-0.0984005564506956,0.507594316418074,0.366509295502071,-0.0515557479620133,0.746247552609301,0.744850336893465,-0.0489004891278147,-0.139843784334305,-0.134428932800699,-0.140379170427668,-0.0841589948176172,-0.316046558464484,-0.1690674534084,-0.101435064123788,-0.115218706938976,0.668861702405581,0.668784130466719,0.761157928528737,0.472660555577207
"ARP8_DELETIONCLONE1",0.297399912484804,0.590325021596117,0.550415380326326,0.220485865905385,0.129489577286402,NA,0.391901421377217,0.0943331446744569,-0.128047486607726,-0.133434165320157,-0.0853542534700013,0.125603271385645,0.130926279476455,0.105448036814674,0.168117403375628,0.334117814104959,0.199026423213305,0.116223664323084,0.246618964856582,-0.0573919260707849,-0.275997555182751,-0.326883491305372,-0.117633097212141,-0.254659337374248,0.00199011039192707,0.131746336449833,-0.0519440133573982,-0.0616826934629582,0.240206227923621,0.154062223888181,-0.0818180078815175,0.0859338060387734,-0.0988805096359082,0.13694334922815,-0.0786849227793647,0.218375494262745,-0.16221295303376,0.00437472384004496,-0.246899276575062,-0.095060967069458,-0.109760746244268,-0.171198438156913,0.114684862034844,0.206562169528358,0.0770490740881168,0.00647179168580069,0.00789527162247918,-0.0383887613649773,-0.178485490066723,-0.0813325731003193,0.114854651434406,0.113373825531967,-0.117855411073603,0.115632003121724,0.147388236258608,0.00914489559092778,-0.0935307026685314,-0.1343756457211,-0.0732812384779686,0.174861169701028,-0.150806336157467,-0.164972085943098,-0.197639544584509,-0.151605672742838,0.138744346541887,0.132843864259574,0.125478074557559,0.107536688938243
"ARP8_DELETIONCLONE4",0.340366487402939,0.387137035186918,0.297033069205483,0.485889583989572,-0.00874656960925313,0.391901421377217,NA,0.0754705148388849,0.0654841864086152,-0.098426078315293,-0.0460113466587699,0.0405169083057603,0.138031338656965,0.0903253288502866,0.146409982506956,0.0884980306785901,0.0266345812902532,0.020998138614897,0.0643668243344338,5.21031965772092e-05,-0.266703577845339,-0.407902446165946,-0.0984683240664423,-0.28001917060728,0.00872477094071032,0.0507279268510296,0.0148822328252641,0.0370926522777253,0.086384721140332,0.0457802597091856,-0.0646562882598456,0.0413706877980025,0.00725150566252078,0.128879465228486,0.014249467474141,0.00454049634552907,-0.169263311068022,0.170344781920523,-0.262788736321788,-0.0778941520614831,0.00280710531323821,-0.182463595842143,0.0358382177796396,0.181208204338583,0.00896677761513686,-0.0641274623948774,-0.065145539946965,0.0480137753067878,-0.0739772989972131,-0.0775116423831893,0.13714259967347,0.116962821705277,-0.15100103256142,0.131633162444255,0.133065685553359,0.0750993435552318,-0.108633707925318,-0.115641232258783,-0.165523001155097,-0.0313255466320032,-0.0947295950774438,0.0121469650142025,-0.12400563181097,-0.169561574829802,0.131217949070401,0.10334217005074,0.0675564555655472,-0.0698629131812564
"ASF1_DELETION",0.223446535741717,0.311443003956735,0.17990554381511,0.209000143561437,0.020719033481471,0.0943331446744569,0.0754705148388849,NA,-0.0425694689797444,-0.168742129202764,-0.115777694013107,0.162601008515051,-0.056038509163446,0.120784685767725,0.121130126823431,0.0652151925640692,0.105791788524367,-0.0232142820774406,0.0983678814499111,-0.000383548005271117,-0.144297759283557,-0.210801916360461,-0.0174606539406009,-0.157077197738374,-0.164610523744538,0.0880753576673009,0.0414492597391391,-0.0408832189467353,0.108001877322488,0.123380117048189,-0.0524809904454646,0.0150166082879382,-0.0676425061184801,-0.0331454328001238,0.0139553947643169,0.0791706680169003,-0.0285277824648872,0.0142008175579652,-0.130792222280068,-0.095778778714125,-0.128112810899111,-0.172030425586034,0.144549793833598,0.249347992165887,0.555128351211626,-0.0722459410432251,-0.0261752233657144,0.0604557438927056,-0.149545861749113,-0.0648164444120298,0.103741506085349,0.0556675209436381,-0.087705171276526,0.138426999016203,0.0981531214536008,0.127391909865399,-0.0628012507109877,-0.0511556382959061,-0.00878964506643925,0.0898457534508729,-0.0478055790329992,-0.0317571932881937,-0.047075007276008,-0.132399835877072,0.0753027370869569,0.0827205508736566,0.0756147647056038,0.0231932256311985
"AVO2_DELETION",-0.0682593804916715,-0.0485323487833977,-0.0908362757940257,-0.0153056861791891,-0.110240946175077,-0.128047486607726,0.0654841864086152,-0.0425694689797444,NA,0.165846231881904,0.0848919981767605,-0.077005203535958,-0.120387209109646,-0.0948990817539087,-0.053044891942455,-0.0772581677874287,-0.0601835538963413,0.00987534387216242,-0.0541849338725455,0.0480079445772906,0.0669566607088199,0.0520931378324487,0.046426191085708,0.060354272027837,0.0551275434543913,-0.0460053448667452,0.0418322203431924,0.0051041842091995,-0.0379499152398108,-0.0895780994429418,0.0797252285343774,0.0833526268084294,0.136366208029377,-0.128889943505173,0.122267323491296,-0.0337990389825668,0.11657461760843,0.031931531331359,0.0732233249640045,0.121111058158364,-0.107489647289452,-0.0711603756249509,-0.161798219265104,-0.175090730895915,-0.0969331863895937,0.00570773002608017,-0.0376049948723363,0.0303226901598361,0.267973843031434,0.0475885542107176,-0.14526533407104,-0.142817603850746,0.206134446646228,-0.113583432002251,-0.128741074502587,-0.0110531830101264,0.0977934759702917,0.0269579967541379,0.0911955684434568,-0.0804829882951738,0.129880597997081,0.0899575750459969,0.11149239488345,0.245275780022291,-0.108766445253471,-0.105045126312544,-0.139748723254774,-0.128055973782637
"BIT61_DELETION",-0.082496726817621,-0.120111839698094,-0.100321630397336,-0.0986311655660082,-0.18434541794309,-0.133434165320157,-0.098426078315293,-0.168742129202764,0.165846231881904,NA,0.172302301809863,-0.151207754142145,-0.183443994355648,-0.204131277447011,-0.125344986046418,-0.0759492266155427,-0.114204224172496,-0.0751587243793101,-0.112982563435146,-0.000279176993725533,0.13953305854814,0.180711653645929,0.0650324951602002,0.176254028422923,0.0585706645570477,-0.139054999001435,-0.0230800386427416,-0.0115877925756439,-0.127560670072492,-0.151912756341228,0.190779968451268,0.0329161441191509,0.250272182900078,-0.0776222403467805,0.0842942764849959,-0.0598150866271437,0.220465887796454,-0.0737407842121575,0.123312176716097,0.101247298585331,0.136716324269981,0.149147709973439,-0.110213366021422,-0.178736546456831,-0.120095226462002,0.0787570998287442,-0.0441796406025897,-0.0141281089250818,0.297740222671992,0.0922826581753057,-0.202069413202339,-0.181996695599418,0.20618165897648,-0.208425275735713,-0.205217633723421,-0.0981181763108237,0.136685328878224,0.0294791792964046,0.0358605458357506,-0.00339332609884588,0.247616824463739,-0.00851560265933977,0.0791984563622779,0.236693854915037,-0.192807049923694,-0.222536003542444,-0.202299310311308,-0.163127485821766
