"","ARP5_DELETION2","ARP5_DELETION2CLONE4","ARP5_DELETION3CLONE2","ARP5_DELETION3CLONE3","ARP6_DELETION","ARP8_DELETIONCLONE1","ARP8_DELETIONCLONE4","ASF1_DELETION","AVO2_DELETION","BIT61_DELETION","ESA1_DAMP","HTZ1_DAMP","HTZ1_DELETION","HTZ1_DELETION2BATCH","IES1_DELETION","IES2_DELETION","IES3_DELETION","IES4_DELETION","IES5_DELETION","IES6_DELETION1CLONE1","IES6_DELETION2CLONE2","IES6_DELETION3","IES6_DELETION4","IES6_DELETION6","IES6_K145|166A","INO80_HASCLONE1","INO80_HASCLONE2","INO80_HASCLONE3","INO80_NTERM","INO80_SPACERCLONE3","ISW1_DELETION","ISW2_DELETION","KOG1_DAMP","LDB7_DELETION","LST8_DAMP","NHP10_DELETION","NPL6_DAMP","RIM15_DELETIONCLONE1","RIM15_DELETIONCLONE2","RRD1_DELETION","RSC3_DAMP","RSC4_DAMP","RSC58_DAMP","RSC6_DAMP","RTT109_DELETION","RVB1_DAMP","SCH9_DELETION","SET3_DELETION","SLM1_DELETION","STH1_DAMP","SWC3_DELETION","SWC5_DELETION","SWC7_DELETION","SWR1_DELETIONCLONE1","SWR1_DELETIONCLONE2","TCO89_DELETION","TOR1_DELETION","TOR2_DAMPCLONE1","TOR2_DAMPCLONE2","TOR2_DELETIONANOSENS","TPK1_DELETION","TPK1_DELETIONCLONE1","TPK1_DELETIONCLONE2","TPK3_DAMP","VPS71_DELETION","VPS72_DELETION","VPS72_DELETION2","VPS72_YL1C"
"ARP5_DELETION2",NA,0.360240028784783,0.247627654352686,0.310912399355923,0.181490299376203,0.255549127722737,0.298645099773857,0.1492270213897,-0.0933225389695496,-0.167908145864022,-0.118679090741827,0.153033489196526,0.250109004880875,0.183267862806152,0.0290970432752981,0.0955871234803757,0.00931447063934791,-0.0434152261959723,0.0844169104334711,-0.282268805996944,-0.274088989193924,-0.156574003971685,-0.166640158372801,-0.081049728127029,-0.0770868889325458,0.16624118874476,-0.0657718427062523,0.0142129531353301,0.031526427295124,0.179828161642423,-0.116070558994525,-0.0984393255095732,-0.111892978468401,0.0597742985243833,0.0769406386996317,-0.00299187138070454,-0.183555184988894,-0.0529795275166461,-0.0362850556841574,0.0225510969628657,-0.165927830700616,-0.225198020122335,-0.0487368938412822,0.171939348181387,0.072301223130838,-0.0209042475515078,0.0650211707632443,0.0142589666660478,-0.0754530884209998,-0.136171480669145,0.239102454004268,0.19744759243805,-0.086837125831232,0.210174099604669,0.240289903049085,-0.0617834680564085,-0.0943553864045807,-0.158477612925693,-0.165125852778543,0.00519168065228222,-0.180371622702163,-0.101421633421159,-0.134579166641606,-0.167139310261093,0.217653005961694,0.206319685848966,0.121364569223429,0.0484383589894615
"ARP5_DELETION2CLONE4",0.360240028784783,NA,0.776314546964644,0.788971610328816,0.208354851594371,0.588814255741485,0.673060417356497,0.189109800037861,-0.138769825424325,-0.195891888305436,-0.0830115514240325,0.162677270683361,0.0376208676465885,0.107117830762832,0.125515464109677,0.270472688003637,0.0927955796315936,0.19099523855907,0.19710068569289,-0.506227700872437,-0.272117039630357,-0.429373387815657,-0.353471807221786,-0.312810569999316,-0.0604844545677048,0.175976229423039,-0.0893985420222886,0.0408604331344894,0.129285428637091,0.311558556340638,-0.095616453485467,-0.0151594844749425,-0.109007233566974,0.0711118699124073,-0.013859092531168,0.0988002114479895,-0.136473335239078,-0.0706806285770514,-0.117607175650537,-0.107069391148517,-0.0487328335688816,-0.066389023661543,0.113418019392857,0.269439612552976,0.124891595484831,0.0235068613168351,0.0877427000606693,-0.0359655500404581,-0.161588670670643,-0.0923895183749772,0.295377140377885,0.149273259748287,-0.0887577103831866,0.241838153230048,0.189075169933814,0.0462078925883994,-0.05594916418598,-0.410568731074487,-0.25179713119621,-0.0432481891587457,-0.123239234028011,-0.263454368916111,-0.306071416021709,-0.174699338860851,0.170267534179719,0.189340943047079,0.201364424064622,-0.00288190353948329
"ARP5_DELETION3CLONE2",0.247627654352686,0.776314546964644,NA,0.747459182486165,0.0657949583451146,0.568131056995722,0.652708057632648,0.281041875337825,-0.125680831465248,-0.22908793074951,-0.110279527267731,0.07319319447348,-0.0166039109200674,0.0506355529784648,0.114343897507906,0.214019398505929,0.14576297357471,0.239664806739385,0.134415183477373,-0.456250405457864,-0.245706015227339,-0.42065102399631,-0.290817056009384,-0.281830627268602,-0.0634754432957412,0.130107761087119,-0.0201286167506477,0.0463501866455389,0.0920258113364408,0.240134532803096,-0.0979100979038964,-0.0496855726037265,-0.116571034717103,0.0897308246112739,-0.0417762194618872,0.0624603148712364,-0.0226904501210231,-0.0114663354646709,-0.0932365508496348,-0.187855732066077,-0.0443765605286866,-0.0129648787930385,0.159749539975001,0.324089644377351,0.136198267111531,0.0682137641385588,0.0821189234976092,-0.0685704299717716,-0.157477732686978,-0.0262078832027253,0.228085993341584,0.0853239140228081,-0.125404768191771,0.0808721662236,0.071971269798133,0.118500720254811,-0.0760858121530457,-0.447458019969983,-0.1678633607198,-0.00426161418506242,-0.0519227314968006,-0.314167094036098,-0.394949867164859,-0.149458267566959,0.0907819528703128,0.0911024815135587,0.0346362517832932,0.000521930624405965
"ARP5_DELETION3CLONE3",0.310912399355923,0.788971610328816,0.747459182486165,NA,0.189903414821398,0.531786041930323,0.569757840340849,0.259119718763138,-0.146045238109024,-0.207100401795006,-0.105097333859396,0.161110362241953,0.0336206704223125,0.0845835298974262,0.120952222262793,0.232575558313225,0.0582675038116594,0.123326398266996,0.192375779279921,-0.481167552643955,-0.291162149501286,-0.432828065044044,-0.366176418322978,-0.294932652990951,-0.0396176455132457,0.234658733257763,-0.0063894281459373,-0.00188159872068698,0.158349041367616,0.271464815930644,-0.0991251765631107,0.0112698554128188,-0.112553195670935,0.0920673299044687,-0.0303973918536088,0.0678264059956458,-0.110140194126029,-0.0903435502700655,-0.112243940062565,-0.131585296676281,-0.0528707775478282,-0.0446912839944602,0.139004503577534,0.296744350501445,0.152209516839756,0.00298999042918624,0.0723166114037498,-0.0636857265307778,-0.11401690092159,-0.101804976090985,0.285772205033185,0.0224906224626643,-0.135915832578204,0.215029718472335,0.176511914575373,0.0775545588308635,-0.0882663821897555,-0.439582651074686,-0.219137900781076,0.0337722181093169,-0.0887856159840848,-0.277909438075567,-0.328591373065954,-0.197800851459884,0.172114296802485,0.148386195150538,0.114835537657801,0.0211689763802461
"ARP6_DELETION",0.181490299376203,0.208354851594371,0.0657949583451146,0.189903414821398,NA,0.0889496751854472,0.129458921977278,0.00232068851813171,-0.122436044272056,-0.174159831209932,-0.0645380305031437,0.607369818052827,0.253086786410373,0.474481317847963,0.0294014716446186,-0.0564614661710693,0.0163851682620503,-0.0944828692640608,-0.0129784387422101,-0.217292991906052,-0.107744577544844,-0.0969725348956337,-0.157781708200797,-0.195459433993739,-0.00700431878989308,0.310512063072635,0.0127918818373186,0.0167099204985249,0.0466230094617221,0.291391877123334,-0.161262928998028,-0.169730384798099,-0.154768655880958,0.130301749599193,-0.105993890574608,-0.0222206459207475,-0.208973978848688,0.101434338235647,0.0366155294163995,-0.0262767837946224,-0.139459922837465,-0.111023135652762,-0.00818127720779892,0.0537719743016009,0.024344029713488,-0.112913008107703,0.0651695601823217,0.0437745984562082,-0.184901696152099,-0.103077159196399,0.513326977897276,0.472749454850723,-0.0396205936368697,0.817997110237559,0.717869835545846,-0.133085600406828,-0.0947327177719282,-0.141036384901028,-0.177717762589754,-0.0316484184273905,-0.227108890645341,-0.0101766611153833,-0.0295292979139871,-0.180671375764758,0.62586465661227,0.69645438493008,0.779089602124149,0.473817374500365
"ARP8_DELETIONCLONE1",0.255549127722737,0.588814255741485,0.568131056995722,0.531786041930323,0.0889496751854472,NA,0.810154374848348,0.20178276979992,-0.167577478777784,-0.154677426612885,-0.123141004476143,0.149577724431242,0.0506340821450397,0.110660002251771,0.0439299229569853,0.251070319571132,0.0804516588224439,0.21498254485856,0.0721371958544283,-0.364937195606755,-0.267363196182982,-0.377990608080434,-0.241756651005935,-0.244854360867966,-0.0225064259762805,0.209599545700117,0.0140156411415166,0.109122243111876,0.0399812402441081,0.240638155990605,-0.0274782162885203,-0.0569303874218612,-0.111699130091838,0.121545669856682,-0.0965283033850946,0.0237429631782026,0.0214287925903701,-0.133000734003566,-0.128370233610342,-0.146844241504076,-0.0233774199875436,-0.0377548116380256,0.0870343422993216,0.224705408254989,0.1124604754005,0.0609927446288887,0.057126880601456,-0.0241297143582885,-0.146543740113345,-0.0381035981570577,0.137051159607301,0.0843406990748126,-0.120389169626055,0.0827853282751781,0.0461222649735481,0.0980081664653999,-0.0292940556191491,-0.35896621425443,-0.129506972171008,0.0444143326130642,0.0102034197343411,-0.323688752278808,-0.353834760530554,-0.143661412094821,0.15359987611034,0.150951444371832,0.0738032284162883,0.104188279711218
"ARP8_DELETIONCLONE4",0.298645099773857,0.673060417356497,0.652708057632648,0.569757840340849,0.129458921977278,0.810154374848348,NA,0.17431354058009,-0.152516362825429,-0.213680397328725,-0.126606376978848,0.202861432051,0.0820552536460889,0.155418528649168,0.178745414719398,0.266648749450768,0.176609263782844,0.165013987480866,0.135128132566065,-0.402151321912523,-0.26944287703805,-0.380308007242,-0.28484195652222,-0.296863618853396,-0.0621892867304511,0.221110854822331,-0.0350964973322193,0.0319505719747531,0.112749986025767,0.321860375007026,-0.118416291840757,-0.0602064019214669,-0.13183317961177,0.102323295251869,-0.0927754444187271,0.0595103975856792,-0.119309341462555,0.000567217729315465,-0.0339515918455311,-0.146700593035125,-0.028481376710001,-0.0857755730268825,0.186383587728043,0.225609120065045,0.148257579762151,0.0426483378963184,0.0592050159210447,0.0145696266847808,-0.159800386191625,-0.0429080244011703,0.161548118392319,0.131760469440157,-0.0608344125463961,0.152071006841304,0.167779082939399,0.04097834406649,-0.10028608644978,-0.426820499708445,-0.167208081721951,-0.00250261746873649,-0.130023236323674,-0.270969939521951,-0.325299867454377,-0.198347378032083,0.19085969963841,0.210698829732633,0.160874744333697,0.0951205121841152
"ASF1_DELETION",0.1492270213897,0.189109800037861,0.281041875337825,0.259119718763138,0.00232068851813171,0.20178276979992,0.17431354058009,NA,-0.102844798434868,-0.132356723368672,-0.158433082456159,0.0703110681881751,-0.0484963348756595,0.0655723769535679,0.0905656078152638,0.104430424725904,0.0741719388420372,0.0493010074174073,0.0600669413898555,-0.183841449102044,-0.110286905043583,-0.121121288684447,-0.0325951282648947,-0.176728183395751,-0.0712464396712115,0.102659671174446,0.0345789928035553,-0.000402079174858682,0.107941750365961,0.0817143613928863,-0.0542385544369907,0.00562085470392604,-0.0370926926138515,0.0358797230459115,0.00270925594349038,0.0376295258579768,-0.0182146022243377,0.0686769999834177,-0.00357875814800176,-0.173355813002261,-0.00505139900970571,-0.13099580224859,0.176454839458093,0.223073970424357,0.524138971296554,-0.052934452201167,0.0872726344840587,0.0819681389110273,-0.106600153302335,-0.0109488785942634,0.0338524614761193,0.0759334458625862,-0.0360635931745206,0.0569324358447702,0.0154425559260789,-0.0436748619594059,-0.0471359656437117,-0.159918092416581,-0.0446634636439014,0.00869599634034658,-0.0269997774486172,-0.0739616594545917,-0.13515766167379,-0.108881811129633,0.0296924076406837,0.0128375758028629,-0.00998765652463115,0.0478436455827493
"AVO2_DELETION",-0.0933225389695496,-0.138769825424325,-0.125680831465248,-0.146045238109024,-0.122436044272056,-0.167577478777784,-0.152516362825429,-0.102844798434868,NA,0.235611261626807,0.126496143726113,-0.135433469512371,-0.105590537212113,-0.10839527150054,-0.111113139420538,-0.0742945688721687,-0.128945132613567,-0.0645794118784044,-0.0842484700702709,0.125515517847659,0.0359379107821912,0.152396155424989,0.0765985596237906,0.0975131324311283,0.0828571319924752,-0.11164673540331,-0.00205674842957442,-0.0303848234448384,-0.0522212070678784,-0.116606320122372,0.0429620403541496,0.0892126489734657,0.148647656020046,-0.134523365596671,0.0750781226321607,-0.0667536345556147,0.0489753694076118,0.0731441149098936,0.116688075400338,0.172520776196478,0.0245936835061653,0.0765825581736459,-0.15272614328907,-0.180215524246261,-0.073265676852,-0.039688027941153,-0.0545262448320696,0.0640449302517286,0.30994115098846,0.0451323259397934,-0.155896144004557,-0.214745519215615,0.197144024693886,-0.13751911838597,-0.147420949233999,-0.0128324040425239,0.0719572003353184,0.116147754784175,0.101433742540193,-0.0475710336028809,0.0743319808500294,0.143594774538332,0.121094622963447,0.186859536512321,-0.131101697783684,-0.153030163099566,-0.15993470015245,-0.0399530519726828
"BIT61_DELETION",-0.167908145864022,-0.195891888305436,-0.22908793074951,-0.207100401795006,-0.174159831209932,-0.154677426612885,-0.213680397328725,-0.132356723368672,0.235611261626807,NA,0.189686402858239,-0.185498061200594,-0.17120306633194,-0.206990791469387,-0.090469609681665,-0.0359193923070559,-0.0685836545421838,-0.0746016871293779,-0.117515422223886,0.23763282686761,0.0522446261377569,0.196600751016446,0.150356984504727,0.144184555473249,0.124912113996424,-0.173776133093697,0.00512193441924068,-0.0353933965958749,-0.107378379517615,-0.152201941035628,0.206293681031379,0.0701506446738163,0.251631681719071,-0.15548861490795,0.11512965101461,-0.0580415678708313,0.105751764374715,0.0207496253515044,0.0632194250736469,0.189971034774956,0.0796202135320959,0.134195197109408,-0.141471488459407,-0.190681663252342,-0.0460365231608693,0.00525144946618369,-0.116167698324292,0.0655788070153638,0.295469843574096,0.142619907541364,-0.272029324093491,-0.236338443830163,0.184116158385612,-0.192385465671513,-0.212876843318916,-0.0873932427435001,0.10913543543155,0.135211943734532,0.0888822491914468,0.0419441227418477,0.15591467529926,0.13043518459465,0.166711502119079,0.20488587961708,-0.233890685934822,-0.245223561248515,-0.204094685648488,-0.173404236183183
"ESA1_DAMP",-0.118679090741827,-0.0830115514240325,-0.110279527267731,-0.105097333859396,-0.0645380305031437,-0.123141004476143,-0.126606376978848,-0.158433082456159,0.126496143726113,0.189686402858239,NA,-0.0950923148763993,-0.180873176493366,-0.0840569611459462,-0.0478092159846618,-0.0251428649900258,-0.0797738043163479,0.0282085222528959,-0.0425453741169314,0.0897854886021936,0.178158827558322,0.0593078999259179,0.0709206633931634,0.0237056360043064,0.135279918788778,-0.119715975991219,0.0140818709319978,-0.0172865544840314,-0.0397998801522425,-0.0901418447639392,-0.000273232371375446,0.23071693248426,0.224782965207267,-0.0409754262818114,0.152075920065725,-0.0593113439005703,-0.0279080824771319,0.136074118460036,0.18545004524567,0.100848467997165,0.105917520198889,0.110761252332221,-0.120129780519594,-0.189957928384711,-0.0921937482379902,-0.032623048522047,-0.0525413909243516,-0.0289362987421132,0.131594569502645,0.0392168530932578,-0.118720072930132,-0.132871856555052,0.0755788962507285,-0.103806245725333,-0.131963144326779,0.00624527244457382,0.121319904504897,0.0693398139190112,0.00651818954819103,-0.0203843661136416,-0.0620095094044311,0.152079905638839,0.169891184002684,0.0699045019455392,-0.200902656788244,-0.142488018931421,-0.0709815553816039,-0.133358803172469
"HTZ1_DAMP",0.153033489196526,0.162677270683361,0.07319319447348,0.161110362241953,0.607369818052827,0.149577724431242,0.202861432051,0.0703110681881751,-0.135433469512371,-0.185498061200594,-0.0950923148763993,NA,0.316016329787052,0.74546665109617,0.092711163147725,0.0221895817077913,0.0514319055799842,-0.0271611491836955,0.0611532811993914,-0.292175290993978,-0.0788967641193302,-0.136016254770686,-0.19931703155521,-0.252707402492591,-0.0861183573362058,0.56924773633312,-0.000776522967415547,-0.00989719466008316,0.0284527437950655,0.455166262669537,-0.12647020341634,-0.115447827530191,-0.111064636430798,0.266240212787587,-0.0900043419096479,0.0367259211021808,-0.14778442443913,0.0763285962169401,-0.0223616930247232,-0.101205253327909,-0.104180923939406,-0.145290349659295,-0.000645717280207541,0.0368836401465315,0.0506072241407122,-0.0629492036020911,0.0895995850003684,0.0785171142990248,-0.181937640506418,-0.106369664910027,0.415775071842131,0.43580018426107,-0.0533609107749183,0.629714127078701,0.560280307573923,-0.00532834703952628,-0.101537604371601,-0.23043024562293,-0.193905924043615,-0.0825580152813214,-0.163400056753533,-0.0978418573048843,-0.172396107761164,-0.194976139162464,0.555471569482236,0.563154084667365,0.588188687585938,0.411092304387956
