"","ARP5_DELETION2","ARP5_DELETION2CLONE4","ARP5_DELETION3CLONE2","ARP5_DELETION3CLONE3","ARP6_DELETION","ARP8_DELETIONCLONE1","ARP8_DELETIONCLONE4","ASF1_DELETION","AVO2_DELETION","BIT61_DELETION","ESA1_DAMP","HTZ1_DAMP","HTZ1_DELETION","HTZ1_DELETION2BATCH","IES1_DELETION","IES2_DELETION","IES3_DELETION","IES4_DELETION","IES5_DELETION","IES6_DELETION1CLONE1","IES6_DELETION2CLONE2","IES6_DELETION3","IES6_DELETION4","IES6_DELETION6","IES6_K145|166A","INO80_HASCLONE1","INO80_HASCLONE2","INO80_HASCLONE3","INO80_NTERM","INO80_SPACERCLONE3","ISW1_DELETION","ISW2_DELETION","KOG1_DAMP","LDB7_DELETION","LST8_DAMP","NHP10_DELETION","NPL6_DAMP","RIM15_DELETIONCLONE1","RIM15_DELETIONCLONE2","RRD1_DELETION","RSC3_DAMP","RSC4_DAMP","RSC58_DAMP","RSC6_DAMP","RTT109_DELETION","RVB1_DAMP","SCH9_DELETION","SET3_DELETION","SLM1_DELETION","STH1_DAMP","SWC3_DELETION","SWC5_DELETION","SWC7_DELETION","SWR1_DELETIONCLONE1","SWR1_DELETIONCLONE2","TCO89_DELETION","TOR1_DELETION","TOR2_DAMPCLONE1","TOR2_DAMPCLONE2","TOR2_DELETIONANOSENS","TPK1_DELETION","TPK1_DELETIONCLONE1","TPK1_DELETIONCLONE2","TPK3_DAMP","VPS71_DELETION","VPS72_DELETION","VPS72_DELETION2","VPS72_YL1C"
"ARP5_DELETION2",NA,0.36093546967451,0.248151431376661,0.360483196494147,0.139670942084818,0.198660641062142,0.261807201652902,0.0457929887238534,-0.0834863860135878,-0.0817571820345674,-0.0690597602257778,0.108231017652687,0.137120859784214,0.167400933857385,-0.0160967091806921,0.243598741317028,0.00189599432875558,-0.0336916713989337,0.0402736934514113,-0.148957428750508,-0.109677331465671,-0.0560546576062186,NA,NA,-0.0413774451676488,-0.0212606538510689,-0.0785614812666748,-0.0465134574517727,0.0575768977025032,0.0213888310517815,-0.124523487738257,-0.164675014175927,-0.0787713718062889,-0.0215764427802007,-0.108209029001817,-0.0321049558737982,-0.044292400672966,-0.175711640128774,-0.184853441887285,0.0237374283807769,-0.052343574697149,-0.0832089745580593,0.0677265102570306,0.00856569822988057,-0.00337223441667631,-0.0146579765480544,-0.0260356884065546,-0.0749953773230312,-0.0441169738187716,-0.0538534974907036,0.112916102724146,0.263367590899246,-0.0290579695769031,0.0920394206829983,0.156106801183118,-0.0368405447551062,-0.0409934972548335,-0.107759578745447,-0.12851002462638,0.0624764303733469,-0.0769983608338224,-0.142519756624816,-0.184750635087179,-0.100533287792585,0.102716450639222,0.0183636280737418,0.159778617142422,0.0360496567820577
"ARP5_DELETION2CLONE4",0.36093546967451,NA,0.612304479533302,0.661402414855308,0.158496614605875,0.507881862353193,0.528592230789616,0.129575179493695,-0.0543097053573724,-0.149118816400473,-0.0111120836147409,0.19717446824486,0.0854433226547145,0.191976256947409,0.0604925058927105,0.281235188553915,0.0329023867320066,-0.0141215639625293,0.137531617731737,-0.384521218037319,-0.249962440394628,-0.208033510817725,NA,NA,-0.132156591502347,-0.0601520260699602,-0.151492103361318,-0.161054470436679,0.0448343193792,0.0372173997337917,-0.0261624893410179,-0.091507950736887,-0.00409849070065718,0.0428930912000836,0.00732316261259044,0.0877944866150668,0.128860191247718,-0.151130281668973,-0.193275997747281,-0.0143598163629816,-0.0798676882852041,0.00292778656390998,0.174978852407947,0.025190804615114,0.0389051469600194,0.0074809086294805,-0.0219535701328161,-4.42364807486221e-05,-0.0804763651638918,-0.00443883341653139,0.116747424954143,0.140845324114286,0.0662277073523749,0.125764002219034,0.136258762866412,-0.0300348481242258,-0.0208869332957546,-0.272165422891523,-0.289561701185702,0.0195314603667601,-0.0600851611252922,-0.108754701342068,-0.245968350532191,-0.148155233142473,0.172813642820712,-0.0119756281740769,0.138336181148343,0.069666827797994
"ARP5_DELETION3CLONE2",0.248151431376661,0.612304479533302,NA,0.709199836129841,0.129846678977041,0.432549541517242,0.522228776813445,0.135632134943182,0.0228901012277449,-0.188663458345149,0.0821429641934966,0.106862448567701,0.0178918420310549,0.0904680770318716,0.11699571116109,0.342758117500599,0.159374574678022,0.0651452236461842,0.228353865846225,-0.305983087321364,-0.275919918754713,-0.266158425119693,NA,NA,-0.104861416253397,-0.102128994112006,-0.0828466740848095,-0.148515431105522,0.0513906593846364,0.0135776585329451,0.00794129288871096,-0.0505704560808808,0.026174506733934,0.00222362210417459,0.0177085454337008,0.103607037924075,0.113759914459778,-0.1572441235077,-0.19775924263969,-0.0508795511592734,-0.118426294621054,0.0645824074688066,0.105969396965668,0.0307246717918603,0.101221248969623,-0.0612220536483061,0.0170789001183429,-0.0414594366105596,-0.115862564620939,-0.0122060609683884,0.204077473151484,0.119778837014563,-0.0617630008049106,0.0778750868663583,0.08368589353966,0.0471087627354383,-0.0495221365039977,-0.249200728566967,-0.313621860148132,0.216449699225561,-0.133494096237784,-0.188090249564908,-0.283425663523659,-0.139994562667551,0.134524018807812,0.031993348148589,0.134694397811714,0.105289768314375
"ARP5_DELETION3CLONE3",0.360483196494147,0.661402414855308,0.709199836129841,NA,0.127110740443018,0.435259655534419,0.492644872606743,0.13596473924192,0.023380313712773,-0.154795980044133,0.0789376790749872,0.181746442559732,0.0675260100704465,0.154279939409066,0.0746830894050309,0.311085562094598,0.119279676819748,0.0200265369434792,0.194509532832566,-0.381981211918813,-0.287584876827051,-0.253914174409811,NA,NA,-0.125485016908358,-0.0838227054411289,-0.0999162109014574,-0.168617512794957,0.0806887134390503,0.0657415950068525,-0.0466828072086324,-0.128336681444254,0.0622715261522816,0.0285176586536802,0.0163459139692709,0.117005450820892,0.156343214165668,-0.17696322044086,-0.2072037530628,-0.0722035609005589,-0.17253144270454,0.0206614019942839,0.185721763206422,0.10023107869992,0.11590986075737,0.0306297011714108,-0.0070619591112999,-0.0108565632207014,-0.171645710396398,0.00550721229630998,0.177514474601052,0.180501540147763,-0.0557378955310926,0.0969390898197586,0.127859854489572,0.0637283695819159,-0.0931504935840671,-0.324070515704524,-0.403326350621268,0.177455305954678,-0.0745768507374118,-0.223240606197857,-0.340884627423213,-0.164113075250596,0.214574802183918,-0.00275081007277303,0.19459903013533,0.110055645361423
"ARP6_DELETION",0.139670942084818,0.158496614605875,0.129846678977041,0.127110740443018,NA,0.0563105521624135,0.0841699535550628,-0.129693207731975,-0.140926457396546,-0.208634041126407,0.137521741922291,0.512149990451447,0.227954162198365,0.531115387865182,0.0235358435433979,0.164451921876265,-0.0886505001728633,-0.130722426111536,-0.0593545206781626,-0.220921990937857,-0.190042101817242,-0.144586860782672,NA,NA,-0.253782615970986,0.179653515990824,-0.00788862823515437,-0.0228338472560068,-0.0198532524109591,0.252157394421359,-0.103519700692663,-0.0880981560353594,-0.0418936346088359,0.161110489451344,-0.0468986024163096,0.013929143041996,-0.062832626453014,0.0789265490407393,-0.0613239251601101,-0.0751772989199748,-0.159942772459234,-0.0402672229176491,-0.106906854390357,-0.0418677308073452,-0.0941038631013972,-0.141704562114241,0.140014357001176,-0.108432303559674,-0.173620397377488,-0.117524171318248,0.391977666722144,0.446938912388681,-0.130169650840404,0.781274342185407,0.778296728942214,0.0455988129768884,0.0371558794071735,-0.101481484996548,-0.210112610732672,-0.000691936963785912,-0.244084008618024,-0.10873353515973,-0.174335395300132,-0.144135071250725,0.660939136670219,-0.140167745256399,0.731157377958862,0.29821190177474
"ARP8_DELETIONCLONE1",0.198660641062142,0.507881862353193,0.432549541517242,0.435259655534419,0.0563105521624135,NA,0.776377445694961,0.151346733599304,-0.061344250567025,-0.0879014233491144,0.0366764221952713,0.135688744638112,0.00741434428944533,0.0570064368189319,0.149001902808349,0.304372507075784,0.141000323088085,-0.0115469571343471,0.18161186841583,-0.248188705378171,-0.156477298834215,-0.177601410036247,NA,NA,-0.0954346873826169,-0.0987936466324287,-0.0473999545603451,-0.0706988692139225,0.0698528755202088,0.00801861748449836,0.0132905861893956,-0.091998682703099,-0.0553748832482953,0.06345410608119,0.0182220076470911,0.128007769317471,0.0988121161646859,-0.134314132013428,-0.20401415635355,-0.0206457290808315,-0.134788331351199,0.0173129112099697,0.119742403761592,0.0146916655926027,0.0866647757617247,-0.0679124186671345,-0.0045325546837721,0.139015678528349,-0.0773253970165771,-0.0236508345874819,0.0666371699900889,0.0815790608538772,-0.00368326291413205,0.0868627978553409,0.0482828997252278,0.0423550920631349,0.0176726321824129,-0.176547677043372,-0.281116979262154,0.201838005365848,-0.12416653326203,-0.226770664076688,-0.311968394388638,-0.0999095000392784,0.110493822419591,0.179440317638824,0.121197214871357,0.10408970252927
"ARP8_DELETIONCLONE4",0.261807201652902,0.528592230789616,0.522228776813445,0.492644872606743,0.0841699535550628,0.776377445694961,NA,0.210187720102438,-0.0686898657278182,-0.109075665744631,0.109453410642664,0.156003792090624,-0.0136846262224104,0.0762162395131011,0.17830798441298,0.413062765364424,0.178256137533431,-0.0262326704742621,0.230210539912074,-0.317599507506763,-0.24542745989145,-0.24315789918551,NA,NA,-0.184638770876946,-0.0457557748537831,-0.0934711131127357,-0.146613990944194,0.160476349180807,0.00629608194415917,-0.00938754240862665,-0.107113645022203,-0.0444005900952095,0.0802854022100349,0.00280161399244541,0.172036575112259,0.21836771168986,-0.115609458024534,-0.186779996609823,-0.0365700804120873,-0.127575040298461,0.0140011538203683,0.115538626980686,0.0462656330218356,0.111088982391768,-0.164971953408857,0.045272406581228,0.15528839204347,-0.0909967827974819,-0.0230792373293557,0.0512334177867739,0.0513430295540479,-0.0607570181732132,0.0865134844733852,0.0936892231468012,-0.0279845779648743,-0.0299853861921345,-0.223128614293852,-0.367968051439248,0.224615016557244,-0.103835744826822,-0.119863442304124,-0.296353194155839,-0.0854003194662712,0.128356398974607,0.10413832091641,0.115193555953128,0.0746248696235575
"ASF1_DELETION",0.0457929887238534,0.129575179493695,0.135632134943182,0.13596473924192,-0.129693207731975,0.151346733599304,0.210187720102438,NA,-0.0240657925708252,-0.0790956524204312,0.049060212614091,0.0684445945570057,0.0133835954883208,-0.0153309494016,0.0653347506895097,0.18647327445171,0.0783242773799899,-0.0825626925805983,0.116645381762628,-0.0554681536002262,-0.0345103288727905,-0.076986730363163,NA,NA,-0.0906870657392026,0.0083949580159946,-0.0548432144985893,-0.0398730362331732,0.128778308915951,0.0105348853272997,0.0801511606135827,0.0981701161530671,0.0750419847180649,0.013044615046264,0.0594328298044687,0.13984627504438,0.302729591181894,-0.0713776753326863,-0.0370595127781598,-0.0171506469720457,-0.070012208905649,-0.0476028089886172,0.223654299137949,0.138501853794891,0.503362106776148,-0.0239969788123009,-0.00124554923797508,0.0540779530871685,-0.0699696728011596,-0.0894518373638635,-0.0800128717668693,-0.0745506484497358,-0.0645063351906272,-0.0828129785548823,-0.0752609260226769,0.00692780364939561,-0.0366262524431133,-0.0641544522288153,-0.0923378765042473,0.0603102731715361,-0.00291094622901793,-0.0124698038943823,-0.129508010960126,-0.0355610829750772,-0.069695916629815,0.0400897662329469,-0.0590084383460221,-0.0588644584237521
"AVO2_DELETION",-0.0834863860135878,-0.0543097053573724,0.0228901012277449,0.023380313712773,-0.140926457396546,-0.061344250567025,-0.0686898657278182,-0.0240657925708252,NA,-0.119629127117772,0.0184617475578401,-0.00505185837980113,-0.0380949725434073,-0.118141194852146,-0.0270562618253542,-0.0628711595765396,0.02280786712807,-0.0761758092678728,0.0678489593198134,0.124213967386046,0.331196481514876,0.160846641323327,NA,NA,0.0214736592395443,-0.0222974830715925,-0.0405595783143788,-0.146424407089129,-0.0466805648141968,-0.0599764276797279,-0.0402917681855619,0.0731320252357414,0.0616106189392056,-0.101760165430317,-0.0309286890202701,-0.183859353065096,-0.0370184884853966,0.0403948351004945,-0.065062978229344,0.0848841785206792,0.0512434739980592,0.0526404938948335,0.0136217763611114,-0.0602395763515586,0.01631923915574,0.167887369043452,-0.0680083331451198,-0.0359772121746295,0.0734286514731477,-0.00324053769654463,0.0294920676434332,-0.102411286705501,0.121392290844056,-0.0966247824603086,-0.141444646535883,0.0474099081546546,0.0886310372587764,0.0288722729921769,-0.0328498724611914,0.0419177947965092,0.00152635375755739,-0.0218054150312337,0.0202194426500807,0.0769895382256537,-0.0410210119430298,-0.0552386733339594,-0.150483035054296,0.029823533455943
"BIT61_DELETION",-0.0817571820345674,-0.149118816400473,-0.188663458345149,-0.154795980044133,-0.208634041126407,-0.0879014233491144,-0.109075665744631,-0.0790956524204312,-0.119629127117772,NA,0.0742937601614639,-0.074460880938154,-0.0686884312507676,-0.129998087135178,-0.205060659497889,-0.202908596656149,-0.15312412974632,-0.0638384996972078,-0.203409568915164,0.0466292776746837,-0.0668291946383075,-0.0908528696195883,NA,NA,0.0138626339840826,0.0286677419136857,0.10272549187376,0.129083550304137,-0.0520284185299563,-0.0804042969269604,0.122982996759276,0.08652344528078,0.0581482829009088,-0.0616098086606016,0.050092295541587,-0.0946796073357053,-0.0949178757433636,0.00893943625345419,0.105888607411261,0.0802102012637622,0.0402407727276871,0.0107505167147066,-0.141112474190925,-0.0540274678283061,-0.118497723242784,-0.0617248457538741,-0.0813539639803343,0.0459354809883567,0.141765700521446,0.068002159580523,-0.223041070572203,-0.14026152489866,-0.0157757190302165,-0.18076077392454,-0.17378535737173,-0.0960719188934417,0.0596573017130155,-0.0040838976730465,0.0393232724189715,-0.116182320281512,0.173096518013251,0.20961201708458,0.0573006986101574,0.198958460486793,-0.236712440995448,-0.0610378413407352,-0.140089165252822,-0.245281443679609
