"","ARP5_DELETION2","ARP5_DELETION2CLONE4","ARP5_DELETION3CLONE2","ARP5_DELETION3CLONE3","ARP6_DELETION","ARP8_DELETIONCLONE1","ARP8_DELETIONCLONE4","ASF1_DELETION","AVO2_DELETION","BIT61_DELETION","ESA1_DAMP","HTZ1_DAMP","HTZ1_DELETION","HTZ1_DELETION2BATCH","IES1_DELETION","IES2_DELETION","IES3_DELETION","IES4_DELETION","IES5_DELETION","IES6_DELETION1CLONE1","IES6_DELETION2CLONE2","IES6_DELETION3","IES6_DELETION4","IES6_DELETION6","IES6_K145|166A","INO80_HASCLONE1","INO80_HASCLONE2","INO80_HASCLONE3","INO80_NTERM","INO80_SPACERCLONE3","ISW1_DELETION","ISW2_DELETION","KOG1_DAMP","LDB7_DELETION","LST8_DAMP","NHP10_DELETION","NPL6_DAMP","RIM15_DELETIONCLONE1","RIM15_DELETIONCLONE2","RRD1_DELETION","RSC3_DAMP","RSC4_DAMP","RSC58_DAMP","RSC6_DAMP","RTT109_DELETION","RVB1_DAMP","SCH9_DELETION","SET3_DELETION","SLM1_DELETION","STH1_DAMP","SWC3_DELETION","SWC5_DELETION","SWC7_DELETION","SWR1_DELETIONCLONE1","SWR1_DELETIONCLONE2","TCO89_DELETION","TOR1_DELETION","TOR2_DAMPCLONE1","TOR2_DAMPCLONE2","TOR2_DELETIONANOSENS","TPK1_DELETION","TPK1_DELETIONCLONE1","TPK1_DELETIONCLONE2","TPK3_DAMP","VPS71_DELETION","VPS72_DELETION","VPS72_DELETION2","VPS72_YL1C"
"ARP5_DELETION2",NA,0.38841540196205,0.350471878232261,0.431720735081715,0.272071799085191,0.23545673095333,0.393925597102417,0.14169265725676,-0.112005722559911,-0.150610069963415,-0.10507777452177,0.233484196372702,0.221670961977502,0.30717366681247,0.00173233685641663,0.201306703199803,-0.0105730137747008,-0.0034781149760324,0.0597274628618022,-0.295246205318449,-0.298689740962085,-0.280917994816211,-0.308194788143413,-0.0589259468088171,-0.0488524776199237,0.2133294940856,0.00463028669247355,-0.0476039946238478,0.00416805800063685,0.0833254941197027,-0.172142734479852,-0.0982945484624872,-0.133986442404141,0.0294033681127808,0.0113200140375286,-0.0352820585370587,-0.214515915909625,-0.315062745601192,-0.159415439251866,-0.00417710674689874,-0.123688456334397,-0.163861553927068,0.0468404814913939,0.139723381158315,0.128213946283268,-0.0790890546327064,0.0446122768971258,0.0963129323707265,-0.203342773095438,-0.180017681834637,0.212611203783071,0.270996956402659,-0.155470735891328,0.310120496961485,0.309018806383803,0.0266988181015589,-0.124919320582381,-0.00427427042399437,-0.258395194055529,-0.00301567793750612,-0.197366458243276,-0.0138242976868943,-0.0498174184838365,-0.231896539923733,0.244091987852709,0.230069057088161,0.224235648232301,0.169133270488074
"ARP5_DELETION2CLONE4",0.38841540196205,NA,0.716077377187568,0.730077523057781,0.151445199290648,0.58783927504848,0.586970517471934,0.157197355669024,-0.0905446625070104,-0.156362292204393,-0.0638472237330856,0.0524069282809342,-0.00163164569366003,0.211620868448857,0.142131210856392,0.436608398710081,0.113465006273128,0.090245380706168,0.251776734316104,-0.394218488170688,-0.24483632255756,-0.37691663024345,-0.303559600945633,-0.286375636513252,-0.0614474880442686,0.072765381434023,-0.00890558466080137,-0.0161165003523937,0.134505657775867,0.114692310618519,-0.108821183207078,-0.0853624278302553,-0.026240641764788,0.00733111409767842,-0.0293982040566616,0.17872308481137,-0.172944129086069,-0.276549255514196,-0.239747680176719,-0.10625880380188,-0.0264425820098036,0.0169215757538113,0.112795881063011,0.164010399799386,0.186065703833494,0.00305919351740246,0.0232988019814672,0.113928550192473,-0.149588055051045,-0.00960673456890816,0.111245189466602,0.0871436996904319,-0.0479446362554882,0.212446773243569,0.221646944925924,0.0830860614654724,-0.103249238485418,-0.101683593687843,-0.35323387139675,0.307622718483066,-0.15995855915679,-0.167293694537631,-0.131924456201869,-0.186623620701042,0.143503844782643,0.13360061155924,0.107115527833279,0.161077018539898
"ARP5_DELETION3CLONE2",0.350471878232261,0.716077377187568,NA,0.703310016811617,0.126190892179791,0.478931115839123,0.560050872986514,0.189701068674241,-0.129587071528002,-0.161024075924224,-0.0513138435005163,0.0115220316586607,-0.0241741621784823,0.133541115311383,0.151931832520144,0.426086357240054,0.125798125947562,0.113989827988127,0.230585282400964,-0.401259514090124,-0.264360533553075,-0.415655147245984,-0.333854257346146,-0.251830607748742,-0.063477965222264,0.073522121215195,0.0284043812910387,0.0263485781034274,0.179558991664364,0.0408379438257432,-0.133110073791429,-0.0769773540307822,-0.0894561604148651,-0.0359074433784942,-0.0713706061367397,0.168049885860811,-0.172953039930141,-0.304978608446314,-0.218311426781567,-0.15897109957415,-0.0601763298398387,0.0383350948203411,0.17363722161906,0.173641098852744,0.164876186177719,0.0280456548028039,0.0392867132992551,0.124014459891371,-0.154872417723257,0.0212430209953532,0.11580936030424,0.0618025328746132,-0.116906702382376,0.136791091949678,0.143208077425209,0.0284833605511051,-0.0708685027292671,-0.0306830748484052,-0.322121466531021,0.266773105019189,-0.183247044536098,-0.097490908131736,-0.12556934586942,-0.177844003134846,0.106215515533708,0.0830321924476342,0.0707122019008662,0.137398480948306
"ARP5_DELETION3CLONE3",0.431720735081715,0.730077523057781,0.703310016811617,NA,0.189004605528003,0.475201899143071,0.587667759568837,0.189813122102683,-0.171379978109346,-0.186358066195461,-0.0762728308938102,0.0952522797148875,0.0326718841782672,0.20640068563774,0.199497673773916,0.389198482227497,0.111121288968713,0.0791319511560903,0.260313803753463,-0.449992163622014,-0.337512568918669,-0.49173721227468,-0.44393229311637,-0.293751704674837,-0.033946763968099,0.12437061609222,-0.0467044534161638,0.0223228949061451,0.214991903825112,0.151955034775197,-0.159819585213934,-0.0122054600415021,-0.0774079449655849,0.0225366786089189,-0.0680863399010621,0.182762443967884,-0.229829183186574,-0.372927838173841,-0.176379332549642,-0.103098235205239,-0.0661235094257471,-0.0586026452492857,0.137100868738624,0.25122719764962,0.23413311966877,-0.00161729253391615,0.0212570904017307,0.0232729401718852,-0.201933835841048,-0.0954288430852423,0.140525756511608,0.0838367878814516,-0.141824116935626,0.179179040076931,0.187291000931728,0.108217638591451,-0.155981419504018,0.0157645824966122,-0.359409848673109,0.207302868843009,-0.183271114409876,-0.0150123592538344,-0.0515384376805277,-0.217633749766045,0.145897591371817,0.135169853620257,0.129275162728955,0.147609666554192
"ARP6_DELETION",0.272071799085191,0.151445199290648,0.126190892179791,0.189004605528003,NA,0.0338004093618325,0.153596703731425,0.0178491340098742,-0.117084741942173,-0.195577289314455,-0.0756868342204126,0.490565881358606,0.315332084725444,0.610877205997302,0.0148531767502019,-0.0405040951406373,-0.0267247659547345,-0.08280361568927,-0.0271005135601834,-0.218512822905218,-0.236460890600534,-0.246488879231796,-0.265375996864436,-0.193880696793876,-0.0490505757742518,0.415601847367113,-0.0543343277317278,-0.00495142349936917,0.0240674789575927,0.220640271885834,-0.0956354508629474,-0.164641389696173,-0.108194216774084,0.177402368631822,-0.113575585818665,-0.0456722572827483,-0.212329764898074,-0.200084257193355,-0.0932864054863512,-0.0796121925948809,-0.112554772982196,-0.0898676808756887,0.025502704755953,0.0928642696570705,0.0164730345008762,-0.112899411686438,0.0224139136642689,-0.0230466737551348,-0.194474337513801,-0.0736587788748584,0.529907783923917,0.493934557585161,-0.127983525241311,0.816888900154671,0.757971834187891,-0.00714710529049563,-0.141602906742968,-0.0891385492855955,-0.201906479171141,-0.0919860196287979,-0.182810315127653,-0.0384204412268372,0.000691921178346602,-0.206286017532982,0.732917501155189,0.779470285023567,0.795310206848027,0.379317262434565
"ARP8_DELETIONCLONE1",0.23545673095333,0.58783927504848,0.478931115839123,0.475201899143071,0.0338004093618325,NA,0.716824177463574,0.0885768366577839,-0.101775249722777,-0.104528496632658,-0.0976615662515363,-0.0307401259199331,0.042028358177179,0.198774457928195,0.161047925390942,0.420778152751094,0.108561089164613,0.15927251798192,0.32291170879809,-0.252288124355763,-0.163705126406196,-0.225821283817166,-0.190294860761989,-0.195403132177803,-0.0440264209529582,0.113201197056324,0.0424985716323833,0.00422786232775118,0.127119063510605,0.0586817174846259,-0.0265035672944217,-0.061872478394423,-0.14925981064313,0.110183743076272,-0.0349095488293515,0.240673020347706,-0.0167464278170757,-0.221163359995641,-0.243322026838213,-0.0966972133928433,-0.00325805252264871,-0.0646058523238234,0.134449284355432,0.124532095434595,0.148993863042541,0.00110450762292674,0.0336205820769698,0.181635975987549,-0.139228080143022,-0.0113909333754389,0.0136224430240573,0.038698394604105,-0.0608314044544022,0.0589944301169515,0.0105574277580351,0.00813798103385209,-0.0639876426653627,-0.0953259137031344,-0.277771146577068,0.357270850280888,-0.110281326041185,-0.151871976041179,-0.161018041929073,-0.16474329516744,0.00973395318991132,0.00331621182341586,-0.0205323927629167,0.170947131619701
"ARP8_DELETIONCLONE4",0.393925597102417,0.586970517471934,0.560050872986514,0.587667759568837,0.153596703731425,0.716824177463574,NA,0.146114255585546,-0.162076247794167,-0.214375308577483,-0.059758606916518,0.138579316595218,0.00539777799400044,0.2294923674221,0.260100126275465,0.42272615154705,0.179373990655659,0.135876812325449,0.325735645065129,-0.366961309701988,-0.356039378785138,-0.388183095472744,-0.411400500736641,-0.26665153616002,0.0424374702449801,0.225076820062315,0.0346347437859622,-0.0468196548815984,0.207739113476747,0.115019723668714,-0.0589955985248153,-0.0719778940065861,-0.0904483111277445,0.0831391264775792,-0.0361305783398761,0.245000532782985,-0.221843121196943,-0.336923575184184,-0.122263041553697,-0.112011292688604,-0.0102362080760293,0.00638069870458272,0.201863468497941,0.214291893153083,0.229266239917352,-0.0442368702311564,0.0367412308016924,0.0846545109295688,-0.210884715879244,-0.0207187298504933,0.120110221910949,0.124721887186132,-0.078449208972274,0.168985771826579,0.137085453457522,0.00284711487554873,-0.125336811898601,0.0437345556582318,-0.308475967509293,0.213977670427869,-0.245201885404767,0.0436766016980908,-0.00608512002622753,-0.240802521444312,0.102870541149558,0.103320231325758,0.0862787349410095,0.170370893096496
"ASF1_DELETION",0.14169265725676,0.157197355669024,0.189701068674241,0.189813122102683,0.0178491340098742,0.0885768366577839,0.146114255585546,NA,-0.13225440148087,-0.10900634575582,-0.0483005492108484,0.0623272656318955,-0.0249875604739242,0.0689477980414555,0.0940924865409437,0.0699905324686406,0.0996571639208953,-0.00141369209959066,0.110796296299404,-0.117940342511832,-0.168264610016434,-0.144084021298163,-0.154186032616912,-0.134497076145408,-0.0427947771519088,0.130768033201553,0.0704882312823648,0.0181264435349787,0.116824065651061,0.0911632612498541,-0.0299144116502991,0.0670697326975443,0.02450237249101,0.00797249942509307,0.0317547763150917,0.0618940603267342,-0.0698806149969511,-0.141177533081215,-0.0360480539832182,-0.0758656240159311,-0.00230345838638825,-0.0325118010765865,0.149711756787357,0.198991839025619,0.528744477819237,-0.0746881560975473,0.0387865717394116,0.0804559208035722,-0.102160677687224,-0.0878614411661523,0.0666805926535549,-0.0119736881234223,-0.0446496185131517,0.0522154835062713,0.0300464714186608,0.0467707717465103,-0.0944757225570082,-0.00265604450460792,-0.0930879928655854,0.0931661926827388,-0.0500188791331316,0.0393359606342031,0.0519142308651575,-0.132734709709911,0.00723154084121387,-0.0278894465741933,-0.0240400239485434,0.0665333407119325
"AVO2_DELETION",-0.112005722559911,-0.0905446625070104,-0.129587071528002,-0.171379978109346,-0.117084741942173,-0.101775249722777,-0.162076247794167,-0.13225440148087,NA,0.240486591360223,0.0774723512092192,-0.147527907243918,-0.113565849172204,-0.147911310045292,-0.138770095666944,-0.0956215342219513,-0.082683299879191,-0.0447890922162848,-0.0952691259322418,0.142667124143936,0.14033318024767,0.199011485518002,0.181438630637504,0.117132890681311,0.00253617324886938,-0.177315237826342,-0.00135033376304208,-0.0496051528330965,-0.0794411614567554,-0.12991471527714,0.0676241668724198,0.0741303187310046,0.0693293376436336,-0.127540583664543,0.0487801854550578,-0.0363065691438769,0.159418237447588,0.172155349799733,0.0619077996048551,0.132103013737066,0.0244431672463386,0.070665691504209,-0.157544061114443,-0.204164378074141,-0.107151985777452,-0.00582802376718529,-0.0760436654560918,0.0658148272101228,0.292911151142798,0.0772061104568469,-0.202310016908737,-0.191698472064811,0.179962160974859,-0.177653199889911,-0.172643743884478,-0.116528174776002,0.167326445174707,0.00743614005615901,0.12859542796683,-0.0389705204009664,0.159990323875384,0.00821666897960704,-0.0308704769596038,0.233361191776458,-0.13708671599851,-0.171598849560221,-0.15684191432096,-0.0814027953111828
"BIT61_DELETION",-0.150610069963415,-0.156362292204393,-0.161024075924224,-0.186358066195461,-0.195577289314455,-0.104528496632658,-0.214375308577483,-0.10900634575582,0.240486591360223,NA,0.0203048223313175,-0.213494336772723,-0.166088914652887,-0.210033707320653,-0.171294577645153,-0.0126527048070577,-0.0610740367864002,-0.0242472123177899,-0.160648754896856,0.248624854093036,0.202786580382761,0.273633235818406,0.275294974118263,0.182844492871021,0.0535699781717739,-0.22466178631053,-0.0594281973876631,-0.0234011380990267,-0.0951686845401376,-0.148541270078166,0.143500888300629,0.0395207496282556,0.129102395980704,-0.118856025396442,0.0680309651564312,-0.0451719449214788,0.252298329288716,0.202701067205643,0.0589349738635746,0.154235048604474,0.104914922227298,0.0420378029164983,-0.135341966958205,-0.193470442497323,-0.0995940469213966,0.0602147409218497,-0.103921437426729,0.0970441575658572,0.265784805700837,0.130766778787017,-0.255265895370629,-0.274379379790993,0.196457445290277,-0.231592319853985,-0.192678076946086,-0.122411778551263,0.177825152156765,0.0119585461375905,0.203229520390436,0.0599341051719535,0.270801239349227,0.0378519924099305,-0.047824283122474,0.253364087373827,-0.202427578319162,-0.230613487284135,-0.224847396671258,-0.163707956964159
